figure_id,overlap_id,pair_label,mode,left_variable,right_variable,left_extreme,right_extreme,overlap_n,group_size_requested,jaccard,overlap_rate_left,overlap_rate_right,cell_label,transformation
pareto_extreme_cases,commits_per_author_t3__bottom__scope_applicability_mean_t3__bottom,commits_per_author_t3 vs scope_applicability_mean_t3,bottom_bottom,commits_per_author_t3,scope_applicability_mean_t3,bottom,bottom,0,4,0.0,0.0,0.0,0/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,commits_per_author_t3__top__scope_applicability_mean_t3__bottom,commits_per_author_t3 vs scope_applicability_mean_t3,top_bottom,commits_per_author_t3,scope_applicability_mean_t3,top,bottom,3,4,0.6,0.75,0.75,3/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,commits_per_author_t3__top__scope_applicability_mean_t3__top,commits_per_author_t3 vs scope_applicability_mean_t3,top_top,commits_per_author_t3,scope_applicability_mean_t3,top,top,0,4,0.0,0.0,0.0,0/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__bottom__commits_per_author_t3__bottom,planning_rework_signal_t2_t3 vs commits_per_author_t3,bottom_bottom,planning_rework_signal_t2_t3,commits_per_author_t3,bottom,bottom,2,4,0.3333333333333333,0.5,0.5,2/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__top__commits_per_author_t3__bottom,planning_rework_signal_t2_t3 vs commits_per_author_t3,top_bottom,planning_rework_signal_t2_t3,commits_per_author_t3,top,bottom,0,4,0.0,0.0,0.0,0/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__top__commits_per_author_t3__top,planning_rework_signal_t2_t3 vs commits_per_author_t3,top_top,planning_rework_signal_t2_t3,commits_per_author_t3,top,top,3,4,0.6,0.75,0.75,3/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__bottom__scope_applicability_mean_t3__bottom,planning_rework_signal_t2_t3 vs scope_applicability_mean_t3,bottom_bottom,planning_rework_signal_t2_t3,scope_applicability_mean_t3,bottom,bottom,0,4,0.0,0.0,0.0,0/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__bottom,planning_rework_signal_t2_t3 vs scope_applicability_mean_t3,top_bottom,planning_rework_signal_t2_t3,scope_applicability_mean_t3,top,bottom,2,4,0.3333333333333333,0.5,0.5,2/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__top,planning_rework_signal_t2_t3 vs scope_applicability_mean_t3,top_top,planning_rework_signal_t2_t3,scope_applicability_mean_t3,top,top,0,4,0.0,0.0,0.0,0/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
pareto_extreme_cases,planning_rework_signal_t2_t3__bottom__source_churn_t3__bottom,planning_rework_signal_t2_t3 vs source_churn_t3,bottom_bottom,planning_rework_signal_t2_t3,source_churn_t3,bottom,bottom,1,4,0.1428571428571428,0.25,0.25,1/4,jaccard_heatmap|overlap_n_over_k_cell_labels|anonymized_aggregate
