figure_id,anonymized_team_id,semester,x,x_value,y,y_value,x_scale,y_scale,transformation
source_churn_vs_planning_rework,TEAM_01,2025.2,planning_rework_signal_t2_t3,675,source_churn_t3,1713.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_01,2026.1,planning_rework_signal_t2_t3,22,source_churn_t3,6341.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_02,2025.2,planning_rework_signal_t2_t3,32,source_churn_t3,27949.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_02,2026.1,planning_rework_signal_t2_t3,18,source_churn_t3,6444.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_03,2025.2,planning_rework_signal_t2_t3,9,source_churn_t3,15186.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_03,2026.1,planning_rework_signal_t2_t3,17,source_churn_t3,196.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_04,2025.2,planning_rework_signal_t2_t3,1130,source_churn_t3,12656.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_04,2026.1,planning_rework_signal_t2_t3,37,source_churn_t3,19469.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_05,2025.2,planning_rework_signal_t2_t3,2,source_churn_t3,2481.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_05,2026.1,planning_rework_signal_t2_t3,9,source_churn_t3,7826.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_06,2025.2,planning_rework_signal_t2_t3,212,source_churn_t3,2935876.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_07,2025.2,planning_rework_signal_t2_t3,9,source_churn_t3,172.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_08,2025.2,planning_rework_signal_t2_t3,91,source_churn_t3,85251.0,log,log,complete_case_pair|source_category_only
source_churn_vs_planning_rework,TEAM_09,2025.2,planning_rework_signal_t2_t3,28,source_churn_t3,1838.0,log,log,complete_case_pair|source_category_only
