Semestre,ai_gini,Temporal cut
2025.2,0.0714285714285714,T1
2026.1,0.0,T1
2025.2,,T1
2026.1,0.36363636363636376,T1
2025.2,,T1
2026.1,0.3500000000000001,T1
2025.2,0.41666666666666674,T1
2026.1,0.3999999999999999,T1
2025.2,,T1
2026.1,0.4750000000000001,T1
2025.2,0.0714285714285714,T1
2025.2,,T1
2025.2,0.0,T1
2025.2,,T1
2025.2,,T2
2026.1,0.0,T2
2025.2,0.5090090090090089,T2
2026.1,0.40476190476190466,T2
2025.2,,T2
2026.1,0.3448275862068966,T2
2025.2,0.3030303030303032,T2
2026.1,,T2
2025.2,,T2
2026.1,0.4864864864864866,T2
2025.2,0.46666666666666656,T2
2025.2,0.298913043478261,T2
2025.2,0.46896551724137936,T2
2025.2,0.34090909090909083,T2
2025.2,0.0,T3
2026.1,0.0,T3
2025.2,0.448780487804878,T3
2026.1,0.35672514619883033,T3
2025.2,0.14814814814814814,T3
2026.1,0.22058823529411775,T3
2025.2,0.5302325581395348,T3
2026.1,0.08823529411764697,T3
2025.2,0.0,T3
2026.1,0.5297872340425531,T3
2025.2,0.4666666666666668,T3
2025.2,0.0,T3
2025.2,0.48311688311688306,T3
2025.2,0.19047619047619047,T3
