Semestre,cc_total,Temporal cut
2025.2,15770.0,T1
2026.1,2.0,T1
2025.2,0.0,T1
2026.1,4497.0,T1
2025.2,0.0,T1
2026.1,7952.0,T1
2025.2,402.0,T1
2026.1,2238.0,T1
2025.2,0.0,T1
2026.1,17111.0,T1
2025.2,2433.0,T1
2025.2,0.0,T1
2025.2,209.0,T1
2025.2,0.0,T1
2025.2,0.0,T2
2026.1,15256.0,T2
2025.2,12429.0,T2
2026.1,11897.0,T2
2025.2,0.0,T2
2026.1,3140.0,T2
2025.2,13962.0,T2
2026.1,0.0,T2
2025.2,0.0,T2
2026.1,5823.0,T2
2025.2,11802.0,T2
2025.2,5706.0,T2
2025.2,132503.0,T2
2025.2,29881.0,T2
2025.2,1366581.0,T3
2026.1,7213.0,T3
2025.2,53210.0,T3
2026.1,24540.0,T3
2025.2,21198.0,T3
2026.1,477.0,T3
2025.2,25088.0,T3
2026.1,88966.0,T3
2025.2,7110.0,T3
2026.1,8246.0,T3
2025.2,11762127.0,T3
2025.2,304.0,T3
2025.2,134869.0,T3
2025.2,2202.0,T3
