Semestre,technical_complexity,Temporal cut
2025.2,1.25,T1
2026.1,1.5,T1
2025.2,1.75,T1
2026.1,2.0,T1
2025.2,1.875,T1
2026.1,1.6666666666666667,T1
2025.2,1.625,T1
2026.1,1.3333333333333333,T1
2025.2,1.75,T1
2026.1,2.0,T1
2025.2,1.875,T1
2025.2,1.75,T1
2025.2,1.375,T1
2025.2,1.0,T1
2025.2,1.25,T2
2026.1,1.8333333333333333,T2
2025.2,1.75,T2
2026.1,1.5,T2
2025.2,1.625,T2
2026.1,2.0,T2
2025.2,1.875,T2
2026.1,0.8333333333333334,T2
2025.2,1.75,T2
2026.1,1.5,T2
2025.2,1.75,T2
2025.2,1.625,T2
2025.2,1.5,T2
2025.2,1.75,T2
2025.2,1.125,T3
2026.1,2.0,T3
2025.2,1.6666666666666667,T3
2026.1,2.0,T3
2025.2,1.875,T3
2026.1,2.0,T3
2025.2,2.0,T3
2026.1,1.8333333333333333,T3
2025.2,1.875,T3
2026.1,1.8333333333333333,T3
2025.2,2.0,T3
2025.2,1.8333333333333333,T3
2025.2,1.6666666666666667,T3
2025.2,2.0,T3
