repository,commit_hash,timestamp,temporal_marker,files_changed,lines_added,lines_deleted,branch_or_ref,branch_or_ref_source,ID_Equipe,Semestre,ID_Autor_Local,source_type
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9873222640e80e7460fa79b4067345e676cff8f3,2026-02-28T13:02:40-03:00,T1,3,230,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_D,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,590f393954d1c509db8d7da32bc06f1482956f12,2026-02-28T23:34:10-03:00,T1,1,89,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,8,39,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,68e349cb8d0b277c1b131fdea7a149b083f04d3c,2026-03-06T13:12:10-03:00,T1,9,147,27,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,12b03f9bed50215d0af568374ecc4b1ab0e120fa,2026-03-07T00:28:38-03:00,T1,18,1444,2,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,ca541f9d62c3e368537763805a00d79d5c0314cb,2026-03-07T22:05:43-03:00,T1,1,6,6,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9221b30205b9f6ab8d89f35a10b39a8f970e743b,2026-03-07T23:37:02-03:00,T1,1,44,6,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9e524ab327eda582848b4aa45bc05dc0ba5749f5,2026-03-08T00:28:37-03:00,T1,1,12,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,a27423cb8b98623a8bc4ebac393b671f8a7841c9,2026-03-08T19:51:12-03:00,T1,3,77,4,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,baac492918fe38a648bc90b686b7e8778b579649,2026-03-09T22:16:34-03:00,T1,2,105,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_B,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,d741a9e2c9c9361d8ad8245f4e3b53a9257fc4e3,2026-06-14T12:29:15-03:00,T3,95,13031,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,332fb15e87192d75453229597506f5889dd1b552,2026-06-14T12:51:54-03:00,T3,6,78,22,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9de7552b62a4f033b725376edfc766ca5debd5e7,2026-06-14T14:23:53-03:00,T3,1,26,6,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,dfeb2fd938ea4a3b16910d544191a3caa847d196,2026-06-17T16:14:20-03:00,T3,112,1455,3554,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,0eae1dc6ba31f89406731b8381b82f604cf6cc55,2026-06-17T16:24:51-03:00,T3,1,1,50,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,8d556d825d3500bb3955c6b49acc61ddd155253e,2026-06-17T16:26:33-03:00,T3,1,4,4,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,696a46c1f635db7f565d33d529185b4606eba8ac,2026-06-17T20:07:12-03:00,T3,96,13075,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,b7372a5f2fc9799e2385a1009a83f406fb2b8dc9,2026-06-18T01:51:57-03:00,T3,105,285,13170,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,c1a79e0b9b3883f5f8f21431130f2793d89ef5ae,2026-06-18T03:29:32-03:00,T3,1,53,62,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,a705f9df13a0c767a5125a2cb850dff134c75acc,2026-06-19T09:27:05-03:00,T3,2,16,15,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,2263894435ed1b3dd83e05e4134bb1a56d7501d2,2026-06-19T10:08:23-03:00,T3,1,12,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,287427ad045d9e300dd8802c171a4d6555c2d908,2026-06-19T10:10:31-03:00,T3,1,0,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,7b68efb529abf1d74e2d3cb049c5235680858447,2026-06-19T10:18:58-03:00,T3,1,42,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,8cac5ac78a45d710239711b4d24587075969f281,2026-06-19T10:22:44-03:00,T3,2,74,54,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_A,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,1b8e2a61b80b3594f240fb2bb997fd1bfb7d506d,2026-06-19T15:03:22-03:00,T3,4,43877,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,98e0caf2665ef7235b796f9999422fc5e9aa0c17,2026-06-19T15:13:51-03:00,T3,1,0,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,2bb4170f359b05a180b10fc3285f681c41897e95,2026-06-19T15:14:21-03:00,T3,1,0,0,chat-frontend,git_branch_contains,TEAM_04,2026.1,Dev_C,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,abb666e33b2ba1508b4a61d32fa121d089c3ea79,2026-03-16T14:05:09-03:00,T1,5,245,0,main,git_branch_contains,TEAM_05,2026.1,Dev_F,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,9992bb04ce7d0fabf05604a31eab9f654aac2f4b,2026-03-16T14:18:07-03:00,T1,1,40,0,main,git_branch_contains,TEAM_05,2026.1,Dev_F,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,e48a6a83ed9d8273020901b564e73dc6f76083d0,2026-03-21T20:18:41-03:00,T1,2,673,0,main,git_branch_contains,TEAM_05,2026.1,Dev_A,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,57dc9a6a8be448b9098a672994befb0adf9f997d,2026-03-27T16:34:50-03:00,T1,1,4,0,main,git_branch_contains,TEAM_05,2026.1,Dev_A,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,46fbb9bdd8217801dc7996925449ce385385030a,2026-03-27T16:37:08-03:00,T1,3,0,0,main,git_branch_contains,TEAM_05,2026.1,Dev_A,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,6c95738b3c38eddb3033d8ef3f723c535d69cbfc,2026-03-27T17:13:12-03:00,T1,10,36,0,main,git_branch_contains,TEAM_05,2026.1,Dev_A,git_commit
extensao3-2026_1-team5-enembot-836dc10bc759,06b4ff56256ca8becc029ba25d604a7210ef302e,2026-03-27T17:52:15-03:00,T1,4,36,6,main,git_branch_contains,TEAM_05,2026.1,Dev_A,git_commit
