repository,commit_hash,timestamp,temporal_marker,ID_Equipe,Semestre,ID_Autor_Local,source_type,file_path,file_path_old,file_extension,change_status,lines_added,lines_deleted,is_binary,branch_or_ref,branch_or_ref_source
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9873222640e80e7460fa79b4067345e676cff8f3,2026-02-28T13:02:40-03:00,T1,TEAM_04,2026.1,Dev_D,git_file,.gitignore,,,added,207.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9873222640e80e7460fa79b4067345e676cff8f3,2026-02-28T13:02:40-03:00,T1,TEAM_04,2026.1,Dev_D,git_file,LICENSE,,,added,21.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,9873222640e80e7460fa79b4067345e676cff8f3,2026-02-28T13:02:40-03:00,T1,TEAM_04,2026.1,Dev_D,git_file,README.md,,.md,added,2.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,590f393954d1c509db8d7da32bc06f1482956f12,2026-02-28T23:34:10-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,models.py,,.py,added,89.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,.vscode/settings.json,,.json,added,15.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/__init__.py,,.py,added,1.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/database/__init__.py,,.py,added,0.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/database/models.py,models.py,.py,renamed,0.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/main.py,,.py,added,6.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/routers/__init__.py,,.py,added,1.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/routers/webhook.py,,.py,added,16.0,0.0,False,chat-frontend,git_branch_contains
extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,318c51863480308fbe65f8e8ade3e6f46db1d02f,2026-03-01T00:35:33-03:00,T1,TEAM_04,2026.1,Dev_B,git_file,app/service/__init__.py,,.py,added,0.0,0.0,False,chat-frontend,git_branch_contains
