ID_Equipe,Semestre,rework_churn_t3,deferred_churn_t3,t1_planning_score,scope_applicability_mean,technical_complexity_mean
TEAM_01,2025.2,1154.0,1452.0,3.0,1.2916666666666667,1.2083333333333333
TEAM_01,2026.1,2780.0,4431.0,1.0,1.888888888888889,1.7777777777777777
TEAM_02,2025.2,6952.0,22622.0,,1.6805555555555556,1.7222222222222223
TEAM_02,2026.1,5296.0,2275.0,4.0,1.888888888888889,1.8333333333333333
TEAM_03,2025.2,0.0,16418.0,,1.9583333333333333,1.7916666666666667
TEAM_03,2026.1,477.0,0.0,3.0,1.9444444444444444,1.888888888888889
TEAM_04,2025.2,1249.0,20005.0,1.0,1.9583333333333333,1.8333333333333333
TEAM_04,2026.1,1113.0,66140.0,7.0,1.1666666666666667,1.3333333333333333
TEAM_05,2025.2,0.0,2532.0,,1.9583333333333333,1.7916666666666667
TEAM_05,2026.1,4459.0,3547.0,7.0,2.0,1.7777777777777777
TEAM_07,2025.2,59.0,160240.0,5.0,1.9166666666666667,1.875
TEAM_08,2025.2,172.0,0.0,,1.9583333333333333,1.736111111111111
TEAM_09,2025.2,100629.0,20745.0,1.0,1.6944444444444444,1.513888888888889
TEAM_10,2025.2,1041.0,1161.0,,1.75,1.5833333333333333
