Semestre,temporal_marker,role,n_total,n_valid,n_missing,mean,std,median,q1,q3,iqr,mode,mode_n,mode_share,scale_type,scale_version,std_ddof,quantile_method
2025.2,T1,Backend,46,46,0,2.391304347826087,0.9540151610620408,2.0,2.0,3.0,1.0,2.0,18,0.391304347826087,likert_1_5_role_disruption,v1,1,linear
2025.2,T1,Frontend,46,46,0,2.739130434782609,1.1042298997480482,3.0,2.0,3.0,1.0,3.0,15,0.32608695652173914,likert_1_5_role_disruption,v1,1,linear
2025.2,T1,QA,46,46,0,2.0652173913043477,1.062537296873092,2.0,1.0,2.0,1.0,2.0,20,0.43478260869565216,likert_1_5_role_disruption,v1,1,linear
2025.2,T1,Project Manager,46,46,0,1.826086956521739,1.017717442255232,1.5,1.0,2.0,1.0,1.0,23,0.5,likert_1_5_role_disruption,v1,1,linear
2025.2,T1,Product Manager,46,46,0,2.0869565217391304,1.0290467424114578,2.0,1.0,3.0,2.0,1.0,17,0.3695652173913043,likert_1_5_role_disruption,v1,1,linear
2025.2,T1,Scrum Master,46,46,0,2.3260869565217392,0.9900470881301433,2.0,2.0,3.0,1.0,2.0,17,0.3695652173913043,likert_1_5_role_disruption,v1,1,linear
2025.2,T2,Backend,41,41,0,2.268292682926829,0.9493258198295894,2.0,2.0,3.0,1.0,2.0,16,0.3902439024390244,likert_1_5_role_disruption,v1,1,linear
2025.2,T2,Frontend,41,41,0,2.682926829268293,1.0825669584428461,3.0,2.0,4.0,2.0,2.0,13,0.3170731707317073,likert_1_5_role_disruption,v1,1,linear
2025.2,T2,QA,41,41,0,2.097560975609756,0.995109995145775,2.0,1.0,3.0,2.0,1.0,14,0.34146341463414637,likert_1_5_role_disruption,v1,1,linear
2025.2,T2,Project Manager,41,41,0,1.829268292682927,0.8632044666355198,2.0,1.0,2.0,1.0,1.0,18,0.43902439024390244,likert_1_5_role_disruption,v1,1,linear
2025.2,T2,Product Manager,41,41,0,1.975609756097561,0.9614521537249988,2.0,1.0,3.0,2.0,1.0,16,0.3902439024390244,likert_1_5_role_disruption,v1,1,linear
2025.2,T2,Scrum Master,41,41,0,2.1219512195121952,0.8716398898403948,2.0,1.0,3.0,2.0,2.0,16,0.3902439024390244,likert_1_5_role_disruption,v1,1,linear
2025.2,T3,Backend,40,40,0,2.3,1.1140133037920332,2.0,1.0,3.0,2.0,1.0,12,0.3,likert_1_5_role_disruption,v1,1,linear
2025.2,T3,Frontend,40,40,0,2.725,1.1764243957749088,3.0,2.0,4.0,2.0,4.0,13,0.325,likert_1_5_role_disruption,v1,1,linear
2025.2,T3,QA,40,40,0,2.05,1.0365128915546464,2.0,1.0,3.0,2.0,2.0,15,0.375,likert_1_5_role_disruption,v1,1,linear
2025.2,T3,Project Manager,40,40,0,2.075,0.8883144511391021,2.0,1.0,3.0,2.0,2.0,18,0.45,likert_1_5_role_disruption,v1,1,linear
2025.2,T3,Product Manager,40,40,0,2.15,0.8022404524765275,2.0,2.0,3.0,1.0,2.0,17,0.425,likert_1_5_role_disruption,v1,1,linear
2025.2,T3,Scrum Master,40,40,0,2.425,1.0098870208453,2.0,2.0,3.0,1.0,3.0,14,0.35,likert_1_5_role_disruption,v1,1,linear
2026.1,T1,Backend,22,22,0,2.3181818181818183,1.04135276655684,2.0,2.0,3.0,1.0,2.0,9,0.4090909090909091,likert_1_5_role_disruption,v1,1,linear
2026.1,T1,Frontend,22,22,0,3.1363636363636362,1.1252705302431796,3.0,2.0,4.0,2.0,4.0,8,0.36363636363636365,likert_1_5_role_disruption,v1,1,linear
2026.1,T1,QA,22,22,0,2.1818181818181817,0.9579921282290986,2.0,1.25,3.0,1.75,2.0,8,0.36363636363636365,likert_1_5_role_disruption,v1,1,linear
2026.1,T1,Project Manager,22,22,0,2.4545454545454546,1.0107645728086347,2.0,2.0,3.0,1.0,2.0,8,0.36363636363636365,likert_1_5_role_disruption,v1,1,linear
2026.1,T1,Product Manager,22,22,0,2.5,0.9128709291752769,2.5,2.0,3.0,1.0,3.0,8,0.36363636363636365,likert_1_5_role_disruption,v1,1,linear
2026.1,T1,Scrum Master,22,22,0,3.1363636363636362,1.245772070624499,3.0,2.0,4.0,2.0,3.0,7,0.3181818181818182,likert_1_5_role_disruption,v1,1,linear
2026.1,T2,Backend,20,20,0,2.1,0.9679060415469871,2.0,1.0,3.0,2.0,2.0,8,0.4,likert_1_5_role_disruption,v1,1,linear
2026.1,T2,Frontend,20,20,0,2.65,1.0894228312566052,2.5,2.0,4.0,2.0,2.0,7,0.35,likert_1_5_role_disruption,v1,1,linear
2026.1,T2,QA,20,20,0,1.85,0.9333020044867295,2.0,1.0,2.25,1.25,1.0,9,0.45,likert_1_5_role_disruption,v1,1,linear
2026.1,T2,Project Manager,20,20,0,2.0,0.7947194142390263,2.0,1.0,3.0,2.0,2.0,8,0.4,likert_1_5_role_disruption,v1,1,linear
2026.1,T2,Product Manager,20,20,0,2.1,0.8522416262267903,2.0,1.75,3.0,1.25,2.0,9,0.45,likert_1_5_role_disruption,v1,1,linear
2026.1,T2,Scrum Master,20,20,0,2.45,1.3168942730211068,2.0,1.0,3.0,2.0,1.0,6,0.3,likert_1_5_role_disruption,v1,1,linear
2026.1,T3,Backend,18,18,0,2.5,1.2485285456935955,2.0,2.0,3.0,1.0,2.0,9,0.5,likert_1_5_role_disruption,v1,1,linear
2026.1,T3,Frontend,18,18,0,3.2777777777777777,1.3636264606493256,3.5,2.0,4.0,2.0,4.0,5,0.2777777777777778,likert_1_5_role_disruption,v1,1,linear
2026.1,T3,QA,18,18,0,2.611111111111111,1.3345582608616182,2.0,2.0,3.75,1.75,2.0,6,0.3333333333333333,likert_1_5_role_disruption,v1,1,linear
2026.1,T3,Project Manager,18,18,0,2.1666666666666665,1.3826657968874305,2.0,1.0,3.0,2.0,1.0,8,0.4444444444444444,likert_1_5_role_disruption,v1,1,linear
2026.1,T3,Product Manager,18,18,0,2.3333333333333335,1.3719886811400708,2.0,1.0,3.0,2.0,2.0,6,0.3333333333333333,likert_1_5_role_disruption,v1,1,linear
2026.1,T3,Scrum Master,18,18,0,2.5555555555555554,1.464168996281919,2.0,1.25,3.75,2.5,2.0,6,0.3333333333333333,likert_1_5_role_disruption,v1,1,linear
