ID_Equipe,Semestre,rework_churn_t3,deferred_churn_t3,total_churn_t3,rework_ratio_t3
TEAM_01,2025.2,262.0,1451.0,1713.0,0.15294804436660828
TEAM_01,2026.1,2513.0,4033.0,6546.0,0.3838985640085548
TEAM_02,2025.2,6519.0,21550.0,28069.0,0.23224910043108055
TEAM_02,2026.1,5278.0,2275.0,7553.0,0.6987951807228916
TEAM_03,2025.2,0.0,15186.0,15186.0,0.0
TEAM_03,2026.1,196.0,0.0,196.0,1.0
TEAM_04,2025.2,860.0,11797.0,12657.0,0.06794659081930947
TEAM_04,2026.1,863.0,18606.0,19469.0,0.04432687862756177
TEAM_05,2025.2,0.0,2482.0,2482.0,0.0
TEAM_05,2026.1,4302.0,3103.0,7405.0,0.5809588116137745
TEAM_07,2025.2,0.0,5837.0,5837.0,0.0
TEAM_08,2025.2,172.0,0.0,172.0,1.0
TEAM_09,2025.2,15518.0,11684.0,27202.0,0.5704727593559297
TEAM_10,2025.2,825.0,1013.0,1838.0,0.44885745375408054
