planning_group,outcome,n_total,n_valid,n_missing,mean,std,median,q1,q3,iqr,mode,mode_n,mode_share,scale_type,scale_version,std_ddof,quantile_method
high,rework_churn_t3,4,4,0,2610.75,2571.976849947656,2582.5,647.25,4546.0,3898.75,5278.0,1,0.25,evaluator_or_churn_outcome,v1,1,linear
high,rework_ratio_t3,4,4,0,0.33102021774105694,0.3603216985550289,0.31264284512066814,0.033245158970671325,0.6104179038910538,0.5771727449203824,0.6987951807228916,1,0.25,evaluator_or_churn_outcome,v1,1,linear
high,project_progress_mean_t3,4,4,0,3.666666666666667,0.45133546692422005,3.8333333333333335,3.625,3.875,0.25,3.8333333333333335,2,0.5,evaluator_or_churn_outcome,v1,1,linear
high,scope_applicability_mean_t3,4,4,0,1.9166666666666667,0.16666666666666663,2.0,1.9166666666666667,2.0,0.08333333333333326,2.0,3,0.75,evaluator_or_churn_outcome,v1,1,linear
high,technical_complexity_mean_t3,4,4,0,1.9166666666666665,0.09622504486493767,1.9166666666666665,1.8333333333333333,2.0,0.16666666666666674,2.0,2,0.5,evaluator_or_churn_outcome,v1,1,linear
high,engagement_participation_mean_t3,4,4,0,1.7083333333333333,0.3435921354681384,1.75,1.4583333333333333,2.0,0.5416666666666667,2.0,2,0.5,evaluator_or_churn_outcome,v1,1,linear
low,rework_churn_t3,5,5,0,3869.8,6578.248110249415,860.0,262.0,2513.0,2251.0,262.0,1,0.2,evaluator_or_churn_outcome,v1,1,linear
low,rework_ratio_t3,5,5,0,0.43505319171008044,0.3723139542136769,0.3838985640085548,0.15294804436660828,0.5704727593559297,0.4175247149893214,0.15294804436660828,1,0.2,evaluator_or_churn_outcome,v1,1,linear
low,project_progress_mean_t3,5,5,0,3.541666666666667,0.6833841444523636,3.8333333333333335,3.5,4.0,0.5,4.0,2,0.4,evaluator_or_churn_outcome,v1,1,linear
low,scope_applicability_mean_t3,5,5,0,1.7916666666666667,0.37960139913101243,2.0,1.8333333333333333,2.0,0.16666666666666674,2.0,3,0.6,evaluator_or_churn_outcome,v1,1,linear
low,technical_complexity_mean_t3,5,5,0,1.7583333333333333,0.3823356582318154,2.0,1.6666666666666667,2.0,0.33333333333333326,2.0,3,0.6,evaluator_or_churn_outcome,v1,1,linear
low,engagement_participation_mean_t3,5,5,0,1.775,0.2349645363311947,1.8333333333333333,1.8333333333333333,1.8333333333333333,0.0,1.8333333333333333,3,0.6,evaluator_or_churn_outcome,v1,1,linear
omitted,rework_churn_t3,5,5,0,1503.2,2824.425552214114,172.0,0.0,825.0,825.0,0.0,2,0.4,evaluator_or_churn_outcome,v1,1,linear
omitted,rework_ratio_t3,5,5,0,0.3362213108370322,0.41538801413160126,0.23224910043108055,0.0,0.44885745375408054,0.44885745375408054,0.0,2,0.4,evaluator_or_churn_outcome,v1,1,linear
omitted,project_progress_mean_t3,5,5,0,3.458333333333333,0.9128709291752769,3.8333333333333335,3.75,3.875,0.125,1.8333333333333333,1,0.2,evaluator_or_churn_outcome,v1,1,linear
omitted,scope_applicability_mean_t3,5,5,0,1.9333333333333336,0.14907119849998596,2.0,2.0,2.0,0.0,2.0,4,0.8,evaluator_or_churn_outcome,v1,1,linear
omitted,technical_complexity_mean_t3,5,5,0,1.85,0.12004050242406608,1.875,1.8333333333333333,1.875,0.04166666666666674,1.875,2,0.4,evaluator_or_churn_outcome,v1,1,linear
omitted,engagement_participation_mean_t3,5,5,0,1.7916666666666665,0.18633899812498247,1.8333333333333333,1.75,1.875,0.125,1.8333333333333333,1,0.2,evaluator_or_churn_outcome,v1,1,linear
