team_semester,commits_t1,commits_t2,commits_t3,first_active_window,planning_evidence,t1_planning_score,rework_churn_t3,deferred_churn_t3,total_churn_t3,rework_ratio_t3
2025.2/TEAM_01,7,0,12,T1,observed,3.0,1154.0,1452.0,2606.0,0.4428242517267843
2025.2/TEAM_02,0,37,164,T2,omitted,,6952.0,22622.0,29574.0,0.2350713464529654
2025.2/TEAM_03,0,0,9,T3,omitted,,0.0,16418.0,16418.0,0.0
2025.2/TEAM_04,9,11,43,T1,observed,1.0,1249.0,20005.0,21254.0,0.0587654088642137
2025.2/TEAM_05,0,0,1,T3,omitted,,0.0,2532.0,2532.0,0.0
2025.2/TEAM_07,7,30,36,T1,observed,5.0,59.0,160240.0,160299.0,0.000368062183794
2025.2/TEAM_08,0,23,3,T2,omitted,,172.0,0.0,172.0,1.0
2025.2/TEAM_09,1,29,77,T1,observed,1.0,100629.0,20745.0,121374.0,0.8290820109743438
2025.2/TEAM_10,0,11,7,T2,omitted,,1041.0,1161.0,2202.0,0.4727520435967302
2026.1/TEAM_01,1,1,1,T1,observed,1.0,2780.0,4431.0,7211.0,0.3855221189848842
2026.1/TEAM_02,11,21,38,T1,observed,4.0,5296.0,2275.0,7571.0,0.6995112930920618
2026.1/TEAM_03,25,29,17,T1,observed,3.0,477.0,0.0,477.0,1.0
2026.1/TEAM_04,10,0,17,T1,observed,7.0,1113.0,66140.0,67253.0,0.0165494476082851
2026.1/TEAM_05,40,37,47,T1,observed,7.0,4459.0,3547.0,8006.0,0.5569572820384712
