temporal_marker,perception_family,n,semester_count,mean,checkpoint_order
T1,ai_benefit,68,2,2.088235294117647,1
T1,ai_career_impact_5y,68,2,1.5,1
T1,autonomy_tool_dependency,68,2,2.9411764705882355,1
T1,career_expectation,68,2,0.23529411764705882,1
T1,project_challenges,68,2,0.2205882352941176,1
T1,project_feeling,68,2,0.1764705882352941,1
T2,ai_benefit,61,2,2.098360655737705,2
T2,ai_career_impact_5y,61,2,1.5573770491803278,2
T2,autonomy_tool_dependency,61,2,2.9836065573770494,2
T2,career_expectation,61,2,0.6065573770491803,2
T2,project_challenges,61,2,0.18032786885245897,2
T2,project_feeling,61,2,0.39344262295081966,2
T3,ai_benefit,58,2,2.0344827586206895,3
T3,ai_career_impact_5y,58,2,1.4310344827586208,3
T3,autonomy_tool_dependency,58,2,3.293103448275862,3
T3,career_expectation,58,2,0.5,3
T3,project_challenges,58,2,0.12068965517241378,3
T3,project_feeling,58,2,0.39655172413793105,3
