Semestre,temporal_marker,category,count,measure,respondent_n,share
2025.2,T1,1.0,1,autonomy_tool_balance,46,0.021739130434782608
2025.2,T1,2.0,11,autonomy_tool_balance,46,0.2391304347826087
2025.2,T1,3.0,25,autonomy_tool_balance,46,0.5434782608695652
2025.2,T1,4.0,4,autonomy_tool_balance,46,0.08695652173913043
2025.2,T1,5.0,5,autonomy_tool_balance,46,0.10869565217391304
2025.2,T2,1.0,1,autonomy_tool_balance,41,0.024390243902439025
2025.2,T2,2.0,8,autonomy_tool_balance,41,0.1951219512195122
2025.2,T2,3.0,26,autonomy_tool_balance,41,0.6341463414634146
2025.2,T2,4.0,6,autonomy_tool_balance,41,0.14634146341463414
2025.2,T3,1.0,1,autonomy_tool_balance,40,0.025
2025.2,T3,2.0,11,autonomy_tool_balance,40,0.275
2025.2,T3,3.0,17,autonomy_tool_balance,40,0.425
2025.2,T3,4.0,6,autonomy_tool_balance,40,0.15
2025.2,T3,5.0,5,autonomy_tool_balance,40,0.125
2026.1,T1,2.0,3,autonomy_tool_balance,22,0.13636363636363635
2026.1,T1,3.0,17,autonomy_tool_balance,22,0.7727272727272727
2026.1,T1,4.0,1,autonomy_tool_balance,22,0.045454545454545456
2026.1,T1,5.0,1,autonomy_tool_balance,22,0.045454545454545456
2026.1,T2,1.0,1,autonomy_tool_balance,20,0.05
2026.1,T2,2.0,4,autonomy_tool_balance,20,0.2
2026.1,T2,3.0,13,autonomy_tool_balance,20,0.65
2026.1,T2,5.0,2,autonomy_tool_balance,20,0.1
2026.1,T3,2.0,6,autonomy_tool_balance,18,0.3333333333333333
2026.1,T3,3.0,5,autonomy_tool_balance,18,0.2777777777777778
2026.1,T3,4.0,3,autonomy_tool_balance,18,0.16666666666666666
2026.1,T3,5.0,4,autonomy_tool_balance,18,0.2222222222222222
