Semestre,temporal_marker,role,n,mean,std,median,q1,q3,disagreement_share,neutral_share,agreement_share,iqr
2025.2,T1,Backend,46,2.391304347826087,0.9540151610620408,2.0,2.0,3.0,0.5652173913043478,0.32608695652173914,0.10869565217391304,1.0
2025.2,T1,Frontend,46,2.739130434782609,1.1042298997480482,3.0,2.0,3.0,0.43478260869565216,0.32608695652173914,0.2391304347826087,1.0
2025.2,T1,Product Manager,46,2.0869565217391304,1.0290467424114578,2.0,1.0,3.0,0.6304347826086957,0.30434782608695654,0.06521739130434782,2.0
2025.2,T1,Project Manager,46,1.826086956521739,1.017717442255232,1.5,1.0,2.0,0.7608695652173914,0.17391304347826086,0.06521739130434782,1.0
2025.2,T1,QA,46,2.0652173913043477,1.062537296873092,2.0,1.0,2.0,0.7608695652173914,0.13043478260869565,0.10869565217391304,1.0
2025.2,T1,Scrum Master,46,2.3260869565217392,0.9900470881301433,2.0,2.0,3.0,0.5869565217391305,0.30434782608695654,0.10869565217391304,1.0
2025.2,T2,Backend,41,2.268292682926829,0.9493258198295894,2.0,2.0,3.0,0.6097560975609756,0.3170731707317073,0.07317073170731707,1.0
2025.2,T2,Frontend,41,2.682926829268293,1.0825669584428461,3.0,2.0,4.0,0.4634146341463415,0.2682926829268293,0.2682926829268293,2.0
2025.2,T2,Product Manager,41,1.975609756097561,0.9614521537249988,2.0,1.0,3.0,0.7073170731707317,0.21951219512195122,0.07317073170731707,2.0
2025.2,T2,Project Manager,41,1.829268292682927,0.8632044666355198,2.0,1.0,2.0,0.7560975609756098,0.21951219512195122,0.024390243902439025,1.0
2025.2,T2,QA,41,2.097560975609756,0.995109995145775,2.0,1.0,3.0,0.6341463414634146,0.3170731707317073,0.04878048780487805,2.0
2025.2,T2,Scrum Master,41,2.1219512195121952,0.8716398898403948,2.0,1.0,3.0,0.6585365853658537,0.2926829268292683,0.04878048780487805,2.0
2025.2,T3,Backend,40,2.3,1.1140133037920332,2.0,1.0,3.0,0.575,0.275,0.15,2.0
2025.2,T3,Frontend,40,2.725,1.1764243957749088,3.0,2.0,4.0,0.475,0.175,0.35,2.0
2025.2,T3,Product Manager,40,2.15,0.8022404524765275,2.0,2.0,3.0,0.65,0.325,0.025,1.0
2025.2,T3,Project Manager,40,2.075,0.8883144511391021,2.0,1.0,3.0,0.725,0.2,0.075,2.0
2025.2,T3,QA,40,2.05,1.0365128915546464,2.0,1.0,3.0,0.725,0.175,0.1,2.0
2025.2,T3,Scrum Master,40,2.425,1.0098870208453,2.0,2.0,3.0,0.525,0.35,0.125,1.0
2026.1,T1,Backend,22,2.3181818181818183,1.04135276655684,2.0,2.0,3.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,1.0
2026.1,T1,Frontend,22,3.1363636363636362,1.1252705302431796,3.0,2.0,4.0,0.36363636363636365,0.18181818181818182,0.45454545454545453,2.0
2026.1,T1,Product Manager,22,2.5,0.9128709291752769,2.5,2.0,3.0,0.5,0.36363636363636365,0.13636363636363635,1.0
2026.1,T1,Project Manager,22,2.4545454545454546,1.0107645728086347,2.0,2.0,3.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,1.0
2026.1,T1,QA,22,2.1818181818181817,0.9579921282290986,2.0,1.25,3.0,0.6363636363636364,0.2727272727272727,0.09090909090909091,1.75
2026.1,T1,Scrum Master,22,3.1363636363636362,1.245772070624499,3.0,2.0,4.0,0.3181818181818182,0.3181818181818182,0.36363636363636365,2.0
2026.1,T2,Backend,20,2.1,0.9679060415469871,2.0,1.0,3.0,0.7,0.2,0.1,2.0
2026.1,T2,Frontend,20,2.65,1.0894228312566052,2.5,2.0,4.0,0.5,0.2,0.3,2.0
2026.1,T2,Product Manager,20,2.1,0.8522416262267903,2.0,1.75,3.0,0.7,0.25,0.05,1.25
2026.1,T2,Project Manager,20,2.0,0.7947194142390263,2.0,1.0,3.0,0.7,0.3,0.0,2.0
2026.1,T2,QA,20,1.85,0.9333020044867295,2.0,1.0,2.25,0.75,0.2,0.05,1.25
2026.1,T2,Scrum Master,20,2.45,1.3168942730211068,2.0,1.0,3.0,0.55,0.25,0.2,2.0
2026.1,T3,Backend,18,2.5,1.2485285456935955,2.0,2.0,3.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,1.0
2026.1,T3,Frontend,18,3.2777777777777777,1.3636264606493256,3.5,2.0,4.0,0.3333333333333333,0.16666666666666666,0.5,2.0
2026.1,T3,Product Manager,18,2.3333333333333335,1.3719886811400708,2.0,1.0,3.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,2.0
2026.1,T3,Project Manager,18,2.1666666666666665,1.3826657968874305,2.0,1.0,3.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.0
2026.1,T3,QA,18,2.611111111111111,1.3345582608616182,2.0,2.0,3.75,0.5555555555555556,0.16666666666666666,0.2777777777777778,1.75
2026.1,T3,Scrum Master,18,2.5555555555555554,1.464168996281919,2.0,1.25,3.75,0.6111111111111112,0.1111111111111111,0.2777777777777778,2.5
