Semestre,temporal_marker,role,score,count,respondent_n,share
2025.2,T1,Backend,1.0,8,46,0.17391304347826086
2025.2,T1,Backend,2.0,18,46,0.391304347826087
2025.2,T1,Backend,3.0,15,46,0.32608695652173914
2025.2,T1,Backend,4.0,4,46,0.08695652173913043
2025.2,T1,Backend,5.0,1,46,0.021739130434782608
2025.2,T1,Frontend,1.0,6,46,0.13043478260869565
2025.2,T1,Frontend,2.0,14,46,0.30434782608695654
2025.2,T1,Frontend,3.0,15,46,0.32608695652173914
2025.2,T1,Frontend,4.0,8,46,0.17391304347826086
2025.2,T1,Frontend,5.0,3,46,0.06521739130434782
2025.2,T1,Product Manager,1.0,17,46,0.3695652173913043
2025.2,T1,Product Manager,2.0,12,46,0.2608695652173913
2025.2,T1,Product Manager,3.0,14,46,0.30434782608695654
2025.2,T1,Product Manager,4.0,2,46,0.043478260869565216
2025.2,T1,Product Manager,5.0,1,46,0.021739130434782608
2025.2,T1,Project Manager,1.0,23,46,0.5
2025.2,T1,Project Manager,2.0,12,46,0.2608695652173913
2025.2,T1,Project Manager,3.0,8,46,0.17391304347826086
2025.2,T1,Project Manager,4.0,2,46,0.043478260869565216
2025.2,T1,Project Manager,5.0,1,46,0.021739130434782608
2025.2,T1,QA,1.0,15,46,0.32608695652173914
2025.2,T1,QA,2.0,20,46,0.43478260869565216
2025.2,T1,QA,3.0,6,46,0.13043478260869565
2025.2,T1,QA,4.0,3,46,0.06521739130434782
2025.2,T1,QA,5.0,2,46,0.043478260869565216
2025.2,T1,Scrum Master,1.0,10,46,0.21739130434782608
2025.2,T1,Scrum Master,2.0,17,46,0.3695652173913043
2025.2,T1,Scrum Master,3.0,14,46,0.30434782608695654
2025.2,T1,Scrum Master,4.0,4,46,0.08695652173913043
2025.2,T1,Scrum Master,5.0,1,46,0.021739130434782608
2025.2,T2,Backend,1.0,9,41,0.21951219512195122
2025.2,T2,Backend,2.0,16,41,0.3902439024390244
2025.2,T2,Backend,3.0,13,41,0.3170731707317073
2025.2,T2,Backend,4.0,2,41,0.04878048780487805
2025.2,T2,Backend,5.0,1,41,0.024390243902439025
2025.2,T2,Frontend,1.0,6,41,0.14634146341463414
2025.2,T2,Frontend,2.0,13,41,0.3170731707317073
2025.2,T2,Frontend,3.0,11,41,0.2682926829268293
2025.2,T2,Frontend,4.0,10,41,0.24390243902439024
2025.2,T2,Frontend,5.0,1,41,0.024390243902439025
2025.2,T2,Product Manager,1.0,16,41,0.3902439024390244
2025.2,T2,Product Manager,2.0,13,41,0.3170731707317073
