Semestre,role,pairs,mean_T1,mean_T3,mean_change,median_change,increased_share,unchanged_share,decreased_share
2025.2,Backend,38,2.3421052631578947,2.3157894736842106,-0.02631578947368421,0.0,0.23684210526315788,0.4473684210526316,0.3157894736842105
2025.2,Frontend,38,2.736842105263158,2.763157894736842,0.02631578947368421,0.0,0.3157894736842105,0.3157894736842105,0.3684210526315789
2025.2,Product Manager,38,2.026315789473684,2.1315789473684212,0.10526315789473684,0.0,0.34210526315789475,0.39473684210526316,0.2631578947368421
2025.2,Project Manager,38,1.763157894736842,2.0789473684210527,0.3157894736842105,0.0,0.3684210526315789,0.5263157894736842,0.10526315789473684
2025.2,QA,38,2.0,2.0526315789473686,0.05263157894736842,0.0,0.2631578947368421,0.5,0.23684210526315788
2025.2,Scrum Master,38,2.289473684210526,2.4210526315789473,0.13157894736842105,0.0,0.2894736842105263,0.5,0.21052631578947367
2026.1,Backend,16,2.375,2.6875,0.3125,0.0,0.25,0.5,0.25
2026.1,Frontend,16,3.0625,3.125,0.0625,0.0,0.25,0.4375,0.3125
2026.1,Product Manager,16,2.4375,2.5,0.0625,0.0,0.1875,0.375,0.4375
2026.1,Project Manager,16,2.375,2.3125,-0.0625,-0.5,0.25,0.25,0.5
2026.1,QA,16,1.9375,2.625,0.6875,0.5,0.5,0.1875,0.3125
2026.1,Scrum Master,16,2.9375,2.625,-0.3125,-0.5,0.1875,0.3125,0.5
