Semestre,ID_Equipe,presentation_anchor,phase,commit_n,active_days,author_n,max_author_share,author_gini,measurement_status
2025.2,TEAM_01,2025-12-12 10:29:05-03:00,pre,11,3,1,1.0,0.0,available
2025.2,TEAM_01,2025-12-12 10:29:05-03:00,post,0,0,0,,,no_observed_activity
2025.2,TEAM_02,2025-12-05 09:54:04-03:00,pre,109,7,5,0.47706422018348627,0.41834862385321103,available
2025.2,TEAM_02,2025-12-05 09:54:04-03:00,post,0,0,0,,,no_observed_activity
2025.2,TEAM_03,2025-12-12 09:43:55-03:00,pre,9,2,3,0.4444444444444444,0.14814814814814814,available
2025.2,TEAM_03,2025-12-12 09:43:55-03:00,post,0,0,0,,,no_observed_activity
2025.2,TEAM_04,2025-12-05 08:53:02-03:00,pre,27,5,5,0.7037037037037037,0.5629629629629631,available
2025.2,TEAM_04,2025-12-05 08:53:02-03:00,post,12,4,3,0.5,0.2777777777777779,available
2025.2,TEAM_05,2025-12-12 10:30:13-03:00,pre,1,1,1,1.0,0.0,available
2025.2,TEAM_05,2025-12-12 10:30:13-03:00,post,2,1,1,1.0,0.0,available
2025.2,TEAM_07,2025-12-12 09:44:15-03:00,pre,6,3,3,0.5,0.22222222222222232,available
2025.2,TEAM_07,2025-12-12 09:44:15-03:00,post,1,1,1,1.0,0.0,available
2025.2,TEAM_08,2025-12-05 09:20:15-03:00,pre,8,5,3,0.5,0.25,available
2025.2,TEAM_08,2025-12-05 09:20:15-03:00,post,6,1,2,0.8333333333333334,0.33333333333333326,available
2025.2,TEAM_09,2025-12-05 10:21:51-03:00,pre,52,4,5,0.4423076923076923,0.41538461538461546,available
2025.2,TEAM_09,2025-12-05 10:21:51-03:00,post,0,0,0,,,no_observed_activity
2025.2,TEAM_10,2025-12-05 10:38:16-03:00,pre,7,2,3,0.42857142857142855,0.19047619047619047,available
2025.2,TEAM_10,2025-12-05 10:38:16-03:00,post,0,0,0,,,no_observed_activity
2026.1,TEAM_01,2026-06-19 10:26:03-03:00,pre,1,1,1,1.0,0.0,available
2026.1,TEAM_01,2026-06-19 10:26:03-03:00,post,0,0,0,,,no_observed_activity
2026.1,TEAM_02,2026-06-19 09:34:12-03:00,pre,20,4,7,0.25,0.2571428571428571,available
2026.1,TEAM_02,2026-06-19 09:34:12-03:00,post,0,0,0,,,no_observed_activity
2026.1,TEAM_03,2026-06-19 09:07:49-03:00,pre,15,2,4,0.3333333333333333,0.18333333333333335,available
2026.1,TEAM_03,2026-06-19 09:07:49-03:00,post,1,1,1,1.0,0.0,available
2026.1,TEAM_04,2026-06-19 10:53:17-03:00,pre,14,4,2,0.7142857142857143,0.2142857142857142,available
2026.1,TEAM_04,2026-06-19 10:53:17-03:00,post,3,1,1,1.0,0.0,available
2026.1,TEAM_05,2026-06-19 09:53:17-03:00,pre,14,4,4,0.5,0.3571428571428572,available
2026.1,TEAM_05,2026-06-19 09:53:17-03:00,post,3,1,2,0.6666666666666666,0.16666666666666674,available
