Semestre,ID_Equipe,temporal_marker,clean_churn,all_churn,clean_unique_file_n,clean_touching_commit_n,median_clean_churn_per_touching_commit,max_clean_churn_per_touching_commit,clean_share_of_all_churn,measurement_status
2025.2,TEAM_01,T1,1440.0,15770.0,30,4,214.5,865.0,0.09131261889663919,available
2025.2,TEAM_01,T2,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_01,T3,1713.0,1366581.0,21,10,115.5,490.0,0.0012534932067693025,available
2025.2,TEAM_02,T1,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_02,T2,2803.0,12429.0,33,26,50.0,543.0,0.22552095904738917,available
2025.2,TEAM_02,T3,28069.0,53210.0,163,133,24.0,14517.0,0.5275136252584101,available
2025.2,TEAM_03,T1,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_03,T2,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_03,T3,15186.0,21198.0,112,5,341.0,14027.0,0.7163883385225022,available
2025.2,TEAM_04,T1,133.0,402.0,1,1,133.0,133.0,0.3308457711442786,available
2025.2,TEAM_04,T2,4899.0,13962.0,47,8,453.0,2346.0,0.3508809626128062,available
2025.2,TEAM_04,T3,12657.0,25088.0,108,15,69.0,9213.0,0.5045041454081632,available
2025.2,TEAM_05,T1,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_05,T2,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_05,T3,2482.0,7110.0,28,1,2482.0,2482.0,0.3490857946554149,available
2025.2,TEAM_07,T1,2407.0,2433.0,41,6,270.5,899.0,0.9893136046033704,available
2025.2,TEAM_07,T2,10724.0,11802.0,98,17,77.0,8587.0,0.9086595492289442,available
2025.2,TEAM_07,T3,5837.0,11762127.0,98,19,289.0,1142.0,0.000496253781310132,available
2025.2,TEAM_08,T1,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_08,T2,1581.0,5706.0,32,11,54.0,652.0,0.27707676130389064,available
2025.2,TEAM_08,T3,172.0,304.0,1,1,172.0,172.0,0.5657894736842105,available
2025.2,TEAM_09,T1,0.0,209.0,0,0,,,0.0,no_clean_change_observed
2025.2,TEAM_09,T2,8536.0,132503.0,161,21,87.0,5050.0,0.06442118291661321,available
2025.2,TEAM_09,T3,27202.0,134869.0,171,59,127.0,8160.0,0.20169201224892302,available
2025.2,TEAM_10,T1,0.0,0.0,0,0,,,,no_clean_change_observed
2025.2,TEAM_10,T2,4825.0,29881.0,26,6,1016.5,1380.0,0.1614738462568187,available
2025.2,TEAM_10,T3,1838.0,2202.0,14,3,601.0,1227.0,0.8346957311534968,available
2026.1,TEAM_01,T1,0.0,2.0,0,0,,,0.0,no_clean_change_observed
2026.1,TEAM_01,T2,4040.0,15256.0,106,1,4040.0,4040.0,0.264813843733613,available
2026.1,TEAM_01,T3,6546.0,7213.0,100,1,6546.0,6546.0,0.9075280743102732,available
2026.1,TEAM_02,T1,1340.0,4497.0,13,2,670.0,693.0,0.29797642873026464,available
2026.1,TEAM_02,T2,3662.0,11897.0,30,12,153.5,1384.0,0.3078086912667059,available
2026.1,TEAM_02,T3,7553.0,24540.0,34,19,83.0,1976.0,0.3077832110839446,available
2026.1,TEAM_03,T1,3583.0,7952.0,56,16,134.0,1062.0,0.4505784708249497,available
2026.1,TEAM_03,T2,2631.0,3140.0,24,11,132.0,655.0,0.8378980891719745,available
2026.1,TEAM_03,T3,196.0,477.0,5,5,16.0,93.0,0.4109014675052411,available
2026.1,TEAM_04,T1,1691.0,2238.0,25,9,77.0,1181.0,0.7555853440571939,available
2026.1,TEAM_04,T2,0.0,0.0,0,0,,,,no_clean_change_observed
2026.1,TEAM_04,T3,19469.0,88966.0,151,9,115.0,5603.0,0.21883640941483262,available
2026.1,TEAM_05,T1,11124.0,17111.0,90,28,109.5,1911.0,0.6501081175851792,available
2026.1,TEAM_05,T2,3844.0,5823.0,87,24,126.5,451.0,0.6601408208827065,available
2026.1,TEAM_05,T3,7405.0,8246.0,68,23,63.0,1919.0,0.8980111569245695,available
