analysis_id,predictor,outcome,n,spearman_rho,spearman_p_exploratory
m6b_structured_content,m6b_planning_evidence_present,clean_rework_churn_t3,9,-0.1732050807568877,0.6558521087759753
m6b_structured_content,m6b_planning_evidence_present,project_progress_mean_t3,9,0.0,1.0
m6b_structured_content,m6b_planning_evidence_present,scope_applicability_mean_t3,9,0.30869745325651593,0.4189496331143614
m6b_structured_content,m6b_planning_evidence_present,technical_complexity_mean_t3,9,0.2860387767736777,0.4555686092508525
m6b_structured_content,m6b_planning_evidence_present,engagement_participation_mean_t3,9,0.0,1.0
m6b_structured_content,m6b_goals_n,clean_rework_churn_t3,9,-0.17568209223157663,0.6511811622893935
m6b_structured_content,m6b_goals_n,project_progress_mean_t3,9,-0.08183170883849714,0.8342212906754378
m6b_structured_content,m6b_goals_n,scope_applicability_mean_t3,9,0.09393364366277243,0.8100414306858374
m6b_structured_content,m6b_goals_n,technical_complexity_mean_t3,9,0.09187431842106274,0.8141467112138165
m6b_structured_content,m6b_goals_n,engagement_participation_mean_t3,9,-0.2182178902359924,0.5727151653763797
m6b_structured_content,m6b_architecture_or_design_n,clean_rework_churn_t3,9,-0.39651972354028314,0.2907091034528085
m6b_structured_content,m6b_architecture_or_design_n,project_progress_mean_t3,9,0.11454053224818188,0.7691960001259738
m6b_structured_content,m6b_architecture_or_design_n,scope_applicability_mean_t3,9,0.2465244607009405,0.5225287865077526
m6b_structured_content,m6b_architecture_or_design_n,technical_complexity_mean_t3,9,0.0913717355809759,0.8151492120575649
m6b_structured_content,m6b_architecture_or_design_n,engagement_participation_mean_t3,9,-0.16226575401825766,0.6766024473423959
m6b_structured_content,m6b_task_decomposition_n,clean_rework_churn_t3,9,-0.4083697748559178,0.27518868125543466
m6b_structured_content,m6b_task_decomposition_n,project_progress_mean_t3,9,0.30929478706587094,0.41800275454673186
m6b_structured_content,m6b_task_decomposition_n,scope_applicability_mean_t3,9,0.47929833168529035,0.19172339280824802
m6b_structured_content,m6b_task_decomposition_n,technical_complexity_mean_t3,9,0.2083513700705935,0.5906062647611368
m6b_structured_content,m6b_task_decomposition_n,engagement_participation_mean_t3,9,0.10309826235529032,0.7918214426161063
m6b_structured_content,m6b_risk_or_dependency_n,clean_rework_churn_t3,9,-0.10350983390135313,0.7910051864396366
m6b_structured_content,m6b_risk_or_dependency_n,project_progress_mean_t3,9,0.0,1.0
m6b_structured_content,m6b_risk_or_dependency_n,scope_applicability_mean_t3,9,0.3689640277608545,0.32848565102526345
m6b_structured_content,m6b_risk_or_dependency_n,technical_complexity_mean_t3,9,0.05698028822981897,0.8842343186644603
m6b_structured_content,m6b_risk_or_dependency_n,engagement_participation_mean_t3,9,-0.21428571428571427,0.5798217662067431
m6b_structured_content,m6b_evidence_quotes_n,clean_rework_churn_t3,9,-0.1573869187761005,0.6859188723450562
m6b_structured_content,m6b_evidence_quotes_n,project_progress_mean_t3,9,-0.0814554691037996,0.8349750511403834
m6b_structured_content,m6b_evidence_quotes_n,scope_applicability_mean_t3,9,0.1402526438305428,0.71892192270124
m6b_structured_content,m6b_evidence_quotes_n,technical_complexity_mean_t3,9,0.05775909822579078,0.882660762652699
m6b_structured_content,m6b_evidence_quotes_n,engagement_participation_mean_t3,9,-0.27151823034599865,0.4797319834846645
