ID_Equipe,Semestre,temporal_marker,m5_semester_coverage_status,m5_observed_semester,m5_unavailable_semesters,m5_analysis_scope_note,friction_marker_density_per_1k_tokens,friction_marker_n,token_n,transcript_chunk_n,source_session_n,alignment,handoff,integration,blocker,rework,clean_churn,all_churn,clean_unique_file_n,clean_touching_commit_n,evaluator_score_composite,project_progress_mean,scope_applicability_mean,technical_complexity_mean,engagement_participation_mean,clean_rework_churn_t3,clean_deferred_churn_t3,clean_total_churn_t3,baseline_eligible_for_rework_t3,clean_rework_ratio_t3,prior_clean_path_n,planning_artifact_present_t1,planning_scope_log1p_t1,evaluator_git_match_status,m4_measurement_status,m8_measurement_status,m6a_measurement_status,m5_measurement_status,m5_analysis_level
TEAM_01,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,1440.0,15770.0,30,4,1.53125,2.375,1.375,1.25,1.125,262.0,1451.0,1713.0,True,0.1529480443666082,30,True,4.143134726391533,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_01,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,0.0,0.0,0,0,1.375,1.5,1.375,1.25,1.375,262.0,1451.0,1713.0,True,0.1529480443666082,30,True,4.143134726391533,no_observed_activity,no_clean_change_observed,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_01,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,1713.0,1366581.0,21,10,1.5,2.375,1.125,1.125,1.375,262.0,1451.0,1713.0,True,0.1529480443666082,30,True,4.143134726391533,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_02,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,0.0,0,0,2.0,2.875,1.5,1.75,1.875,6519.0,21550.0,28069.0,True,0.2322491004310805,33,False,0.0,no_observed_activity,no_clean_change_observed,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_02,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,2803.0,12429.0,33,26,2.21875,3.25,1.875,1.75,2.0,6519.0,21550.0,28069.0,True,0.2322491004310805,33,False,0.0,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_02,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,28069.0,53210.0,163,133,1.75,1.8333333333333333,1.6666666666666667,1.6666666666666667,1.8333333333333333,6519.0,21550.0,28069.0,True,0.2322491004310805,33,False,0.0,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_03,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,0.0,0,0,2.25,3.25,2.0,1.875,1.875,0.0,15186.0,15186.0,False,0.0,0,False,0.0,no_observed_activity,no_clean_change_observed,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_03,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,0.0,0.0,0,0,1.875,2.5,1.875,1.625,1.5,0.0,15186.0,15186.0,False,0.0,0,False,0.0,no_observed_activity,no_clean_change_observed,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_03,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,15186.0,21198.0,112,5,2.40625,3.875,2.0,1.875,1.875,0.0,15186.0,15186.0,False,0.0,0,False,0.0,matched,available,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_04,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,133.0,402.0,1,1,2.125,3.125,2.0,1.625,1.75,860.0,11797.0,12657.0,True,0.0679465908193094,47,True,5.4510384535657,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_04,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,4899.0,13962.0,47,8,2.3125,3.5,1.875,1.875,2.0,860.0,11797.0,12657.0,True,0.0679465908193094,47,True,5.4510384535657,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_04,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,12657.0,25088.0,108,15,2.4583333333333335,4.0,2.0,2.0,1.8333333333333333,860.0,11797.0,12657.0,True,0.0679465908193094,47,True,5.4510384535657,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_05,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,0.0,0,0,1.875,2.375,1.875,1.75,1.5,0.0,2482.0,2482.0,False,0.0,0,False,0.0,no_observed_activity,no_clean_change_observed,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_05,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,0.0,0.0,0,0,2.28125,4.0,2.0,1.75,1.375,0.0,2482.0,2482.0,False,0.0,0,False,0.0,no_observed_activity,no_clean_change_observed,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_05,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,2482.0,7110.0,28,1,2.28125,3.75,2.0,1.875,1.5,0.0,2482.0,2482.0,False,0.0,0,False,0.0,matched,available,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
