ID_Equipe,Semestre,activity_metric,covered_period_start,covered_period_end,covered_event_rows,assigned_event_rows,unassigned_event_rows,duplicate_assignment_rows,observed_weekly_metric_total,weekly_data_metric_total,assignment_status
TEAM_01,2025.2,clean_file_events,2025-09-12 13:29:05+00:00,2025-12-12 13:29:05+00:00,67,67,0,0,3153.0,3153.0,pass
TEAM_01,2025.2,commits,2025-09-12 13:29:05+00:00,2025-12-12 13:29:05+00:00,19,19,0,0,19.0,19.0,pass
TEAM_01,2026.1,clean_file_events,2026-03-20 13:26:03+00:00,2026-06-19 13:26:03+00:00,206,206,0,0,10586.0,10586.0,pass
TEAM_01,2026.1,commits,2026-03-20 13:26:03+00:00,2026-06-19 13:26:03+00:00,2,2,0,0,2.0,2.0,pass
TEAM_02,2025.2,clean_file_events,2025-09-05 12:54:04+00:00,2025-12-05 12:54:04+00:00,487,487,0,0,30872.0,30872.0,pass
TEAM_02,2025.2,commits,2025-09-05 12:54:04+00:00,2025-12-05 12:54:04+00:00,201,201,0,0,201.0,201.0,pass
TEAM_02,2026.1,clean_file_events,2026-03-20 12:34:12+00:00,2026-06-19 12:34:12+00:00,167,167,0,0,12555.0,12555.0,pass
TEAM_02,2026.1,commits,2026-03-20 12:34:12+00:00,2026-06-19 12:34:12+00:00,70,70,0,0,70.0,70.0,pass
TEAM_03,2025.2,clean_file_events,2025-09-12 12:43:55+00:00,2025-12-12 12:43:55+00:00,146,146,0,0,15186.0,15186.0,pass
TEAM_03,2025.2,commits,2025-09-12 12:43:55+00:00,2025-12-12 12:43:55+00:00,9,9,0,0,9.0,9.0,pass
TEAM_03,2026.1,clean_file_events,2026-03-20 12:07:49+00:00,2026-06-19 12:07:49+00:00,134,134,0,0,6410.0,6410.0,pass
TEAM_03,2026.1,commits,2026-03-20 12:07:49+00:00,2026-06-19 12:07:49+00:00,70,70,0,0,70.0,70.0,pass
TEAM_04,2025.2,clean_file_events,2025-09-05 11:53:02+00:00,2025-12-05 11:53:02+00:00,206,206,0,0,17649.0,17649.0,pass
TEAM_04,2025.2,commits,2025-09-05 11:53:02+00:00,2025-12-05 11:53:02+00:00,51,51,0,0,51.0,51.0,pass
TEAM_04,2026.1,clean_file_events,2026-03-20 13:53:17+00:00,2026-06-19 13:53:17+00:00,246,246,0,0,19469.0,19469.0,pass
TEAM_04,2026.1,commits,2026-03-20 13:53:17+00:00,2026-06-19 13:53:17+00:00,14,14,0,0,14.0,14.0,pass
TEAM_05,2025.2,clean_file_events,2025-09-12 13:30:13+00:00,2025-12-12 13:30:13+00:00,28,28,0,0,2482.0,2482.0,pass
TEAM_05,2025.2,commits,2025-09-12 13:30:13+00:00,2025-12-12 13:30:13+00:00,1,1,0,0,1.0,1.0,pass
TEAM_05,2026.1,clean_file_events,2026-03-20 12:53:17+00:00,2026-06-19 12:53:17+00:00,473,473,0,0,22366.0,22366.0,pass
TEAM_05,2026.1,commits,2026-03-20 12:53:17+00:00,2026-06-19 12:53:17+00:00,119,119,0,0,119.0,119.0,pass
TEAM_07,2025.2,clean_file_events,2025-09-12 12:44:15+00:00,2025-12-12 12:44:15+00:00,332,332,0,0,18968.0,18968.0,pass
TEAM_07,2025.2,commits,2025-09-12 12:44:15+00:00,2025-12-12 12:44:15+00:00,73,73,0,0,73.0,73.0,pass
TEAM_08,2025.2,clean_file_events,2025-09-05 12:20:15+00:00,2025-12-05 12:20:15+00:00,48,48,0,0,1753.0,1753.0,pass
TEAM_08,2025.2,commits,2025-09-05 12:20:15+00:00,2025-12-05 12:20:15+00:00,26,26,0,0,26.0,26.0,pass
TEAM_09,2025.2,clean_file_events,2025-09-05 13:21:51+00:00,2025-12-05 13:21:51+00:00,661,661,0,0,35738.0,35738.0,pass
TEAM_09,2025.2,commits,2025-09-05 13:21:51+00:00,2025-12-05 13:21:51+00:00,107,107,0,0,107.0,107.0,pass
TEAM_10,2025.2,clean_file_events,2025-09-05 13:38:16+00:00,2025-12-05 13:38:16+00:00,60,60,0,0,6663.0,6663.0,pass
TEAM_10,2025.2,commits,2025-09-05 13:38:16+00:00,2025-12-05 13:38:16+00:00,18,18,0,0,18.0,18.0,pass
