ID_Equipe,Semestre,phase,phase_order,period_start,period_end,commit_n,clean_churn,active_day_n,active_author_n,score_trajectory_group,planning_scope_tier,evaluator_score_t3,delta_score_t3_minus_t1,team_total_commit_n,team_total_clean_churn,commit_share_pct,clean_churn_share_pct
TEAM_01,2025.2,pre_t1,1,2025-09-14 01:33:22+00:00,2025-10-24 13:42:28+00:00,7,1440.0,3,2,stable,high_repository_visible_planning,1.5,-0.03125,19,3153.0,36.8421052631579,45.670789724072314
TEAM_01,2025.2,t1_to_t2,2,2025-10-24 13:42:28+00:00,2025-11-21 14:59:01+00:00,1,376.0,1,1,stable,high_repository_visible_planning,1.5,-0.03125,19,3153.0,5.2631578947368425,11.925150650174437
TEAM_01,2025.2,t2_to_t3_excluding_final7,3,2025-11-21 14:59:01+00:00,2025-12-05 13:29:05+00:00,0,0.0,0,0,stable,high_repository_visible_planning,1.5,-0.03125,19,3153.0,0.0,0.0
TEAM_01,2025.2,final7_pre_t3,4,2025-12-05 13:29:05+00:00,2025-12-12 13:29:05+00:00,11,1337.0,3,1,stable,high_repository_visible_planning,1.5,-0.03125,19,3153.0,57.89473684210526,42.40405962575325
TEAM_01,2026.1,pre_t1,1,2026-03-06 21:55:54+00:00,2026-04-24 12:58:19+00:00,1,0.0,1,1,improved,lower_repository_visible_planning,2.5,0.5416666666666667,3,10586.0,33.333333333333336,0.0
TEAM_01,2026.1,t1_to_t2,2,2026-04-24 12:58:19+00:00,2026-05-22 13:21:59+00:00,1,4040.0,1,1,improved,lower_repository_visible_planning,2.5,0.5416666666666667,3,10586.0,33.333333333333336,38.163612318156055
TEAM_01,2026.1,t2_to_t3_excluding_final7,3,2026-05-22 13:21:59+00:00,2026-06-12 13:26:03+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.5,0.5416666666666667,3,10586.0,0.0,0.0
TEAM_01,2026.1,final7_pre_t3,4,2026-06-12 13:26:03+00:00,2026-06-19 13:26:03+00:00,1,6546.0,1,1,improved,lower_repository_visible_planning,2.5,0.5416666666666667,3,10586.0,33.333333333333336,61.836387681843945
TEAM_02,2025.2,pre_t1,1,,2025-10-17 13:45:15+00:00,0,0.0,0,0,declined,lower_repository_visible_planning,1.75,-0.25,201,30872.0,0.0,0.0
TEAM_02,2025.2,t1_to_t2,2,2025-10-17 13:45:15+00:00,2025-11-14 12:50:38+00:00,40,3342.0,15,6,declined,lower_repository_visible_planning,1.75,-0.25,201,30872.0,19.90049751243781,10.825343353200312
