tier,window_end_day,team_semester_n,mean_team_full_period_rolling_intensity_pct,median_team_full_period_rolling_intensity_pct,ci95_lower,ci95_upper
High evaluator score + good planning,-110,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-109,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-108,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-107,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-106,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-105,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-104,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-103,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-102,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-101,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-100,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-99,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-98,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-97,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-96,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-95,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-94,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-93,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-92,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-91,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-90,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-89,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-88,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-87,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-86,4,1.1904761904761905,0.0,0.0,3.571428571428571
High evaluator score + good planning,-85,4,1.1904761904761905,0.0,0.0,3.571428571428571
High evaluator score + good planning,-84,4,2.4404761904761907,2.380952380952381,0.0,4.880952380952381
High evaluator score + good planning,-83,4,2.4404761904761907,2.380952380952381,0.0,4.880952380952381
High evaluator score + good planning,-82,4,2.4404761904761907,2.380952380952381,0.0,4.880952380952381
High evaluator score + good planning,-81,4,2.4404761904761907,2.380952380952381,0.0,4.880952380952381
High evaluator score + good planning,-80,4,2.4404761904761907,2.380952380952381,0.0,4.880952380952381
High evaluator score + good planning,-79,4,1.25,0.0,0.0,3.75
High evaluator score + good planning,-78,4,1.25,0.0,0.0,3.75
High evaluator score + good planning,-77,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-76,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-75,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-74,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-73,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-72,4,0.0,0.0,0.0,0.0
High evaluator score + good planning,-71,4,3.273809523809524,4.0476190476190474,1.1904761904761905,4.880952380952381
High evaluator score + good planning,-70,4,4.464285714285714,4.166666666666667,1.25,7.976190476190476
High evaluator score + good planning,-69,4,6.904761904761904,6.666666666666667,1.6666666666666667,12.142857142857142
High evaluator score + good planning,-68,4,10.476190476190476,6.666666666666667,1.6666666666666667,22.261904761904763
High evaluator score + good planning,-67,4,12.857142857142858,6.666666666666667,1.6666666666666667,29.404761904761905
High evaluator score + good planning,-66,4,12.857142857142858,6.666666666666667,1.6666666666666667,29.404761904761905
High evaluator score + good planning,-65,4,18.809523809523807,6.666666666666667,1.6666666666666667,47.26190476190476
High evaluator score + good planning,-64,4,15.535714285714286,2.5,0.0,42.85714285714286
High evaluator score + good planning,-63,4,14.345238095238095,2.5,0.0,39.285714285714285
High evaluator score + good planning,-62,4,11.904761904761905,0.0,0.0,35.714285714285715
High evaluator score + good planning,-61,4,8.333333333333334,0.0,0.0,25.0
High evaluator score + good planning,-60,4,8.333333333333334,0.0,0.0,25.0
High evaluator score + good planning,-59,4,13.928571428571429,1.6666666666666667,0.0,39.285714285714285
High evaluator score + good planning,-58,4,12.142857142857142,10.0,0.0,24.285714285714285
High evaluator score + good planning,-57,4,12.142857142857142,10.0,0.0,24.285714285714285
High evaluator score + good planning,-56,4,28.095238095238095,30.0,10.0,46.19047619047619
High evaluator score + good planning,-55,4,29.761904761904763,33.333333333333336,10.0,46.19047619047619
High evaluator score + good planning,-54,4,41.666666666666664,33.333333333333336,10.0,81.66666666666667
