ID_Equipe,Semestre,evaluator_score_t1,evaluator_score_t2,evaluator_score_t3,delta_score_t3_minus_t1,delta_score_t2_minus_t1,delta_score_t3_minus_t2,score_trajectory_group,planning_present_t1,planning_scope_log1p_t1,planning_scope_tier,final7_commit_share_pct,final7_clean_churn_share_pct,active_day_count,project_span_days,active_day_share,max_inactivity_gap_days,median_inactivity_gap_days,commit_weekly_cv,clean_churn_weekly_cv,temporal_entropy_commits,temporal_entropy_clean_churn,author_count,max_author_share,author_gini,m7_window_count,m7_inactive_window_share,regularity_index,technical_complexity_mean_t1,technical_complexity_mean_t2,technical_complexity_mean_t3,delta_technical_complexity_t3_minus_t1,clean_distinct_file_n,clean_distinct_directory_n,clean_max_path_depth,clean_extension_n,clean_touching_commit_n_inferred,clean_total_churn_inferred,mean_clean_files_per_commit,frontend_clean_file_event_share,backend_clean_file_event_share,clean_churn_t3,all_churn_t3,clean_rework_churn_t3,clean_rework_ratio_t3,baseline_eligible_for_rework_t3,m8_rework_measurement_status,pi_file_count_t1,pi_line_delta_t1,team_total_commit_n,team_total_clean_churn,final7_pre_t3_commit_share_pct,pre_t1_commit_share_pct,t1_to_t2_commit_share_pct,t2_to_t3_excluding_final7_commit_share_pct,final7_pre_t3_clean_churn_share_pct,pre_t1_clean_churn_share_pct,t1_to_t2_clean_churn_share_pct,t2_to_t3_excluding_final7_clean_churn_share_pct,m1_aggregation_level,m1_ai_benefit_mean_t1,m1_ai_benefit_mean_t3,m1_ai_benefit_mean_delta_t3_minus_t1,m1_autonomy_tool_dependency_mean_t1,m1_autonomy_tool_dependency_mean_t3,m1_autonomy_tool_dependency_mean_delta_t3_minus_t1,m1_ai_career_impact_5y_mean_t1,m1_ai_career_impact_5y_mean_t3,m1_ai_career_impact_5y_mean_delta_t3_minus_t1,m1_project_feeling_mean_t1,m1_project_feeling_mean_t3,m1_project_feeling_mean_delta_t3_minus_t1,m2_t3_role_mean_backend,m2_t3_role_mean_frontend,m2_t3_role_mean_project_manager,m2_t3_role_mean_qa,m2_t3_role_mean_scrum_master,m2_t3_role_agreement_share_backend,m2_t3_role_agreement_share_frontend,m2_t3_role_agreement_share_project_manager,m2_t3_role_agreement_share_qa,m2_t3_role_agreement_share_scrum_master,m2_aggregation_level,m6b_status,m6b_planning_evidence_present,m6b_input_subject_n,m6b_evidence_quote_n,m6b_insufficient_evidence_n,m6b_unavailable_reason,m5_global_friction_marker_density_per_1k_tokens_t1,m5_global_friction_marker_n_t1,m5_global_token_n_t1,m5_global_friction_marker_density_per_1k_tokens_t2,m5_global_friction_marker_n_t2,m5_global_token_n_t2,m5_global_friction_marker_density_per_1k_tokens_t3,m5_global_friction_marker_n_t3,m5_global_token_n_t3,m5_global_m5_delta_density_t3_minus_t1,m5_coverage_status,m5_analysis_level,m5_team_level_measure,m5_zero_filled_unavailable_semesters,panel_row_completeness_status,coverage_fields_present
TEAM_01,2025.2,1.53125,1.375,1.5,-0.03125,-0.15625,0.125,stable,True,4.143134726391533,high_repository_visible_planning,57.89473684210526,42.40405962575325,7,90,0.0777777777777777,58,18.0,2.0953714986730927,2.0259524868941776,0.408172277271908,0.3081870816945679,1,1.0,0.0,71,0.7887323943661971,0.2854717247674448,1.25,1.25,1.125,-0.125,44,20,9,4,14,3153.0,4.785714285714286,0.5522388059701493,0.4477611940298507,1713.0,1366581.0,262.0,0.1529480443666082,True,baseline_eligible,4,62.0,19,3153.0,57.89473684210526,36.8421052631579,5.2631578947368425,0.0,42.40405962575325,45.67078972407232,11.925150650174436,0.0,semester_checkpoint_student_aggregate,2.130434782608696,2.25,0.11956521739130421,3.0869565217391304,3.225,0.1380434782608697,1.4782608695652173,1.325,-0.15326086956521734,0.108695652173913,0.35,0.24130434782608698,2.3,2.725,2.075,2.05,2.425,0.15,0.35,0.075,0.1,0.125,semester_checkpoint_role_aggregate,success,False,7,0,4,No explicit goals are mentioned in the commit subjects.,0.5151098901098901,12.0,23296.0,1.1319568179436117,54.0,47705.0,1.2867114871168013,40.0,31087.0,0.7716015970069112,available_transcript_corpus_2025_2,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_01,2026.1,1.9583333333333333,2.458333333333333,2.5,0.5416666666666667,0.4999999999999998,0.0416666666666669,improved,True,1.0986122886681096,lower_repository_visible_planning,33.333333333333336,61.836387681843945,3,106,0.0283018867924528,76,51.5,2.0816659994661326,2.7291610862563065,0.235579851370888,0.1425684771397745,1,1.0,0.0,71,0.8028169014084507,0.2112991020355605,1.5,1.8333333333333333,2.0,0.5,159,44,5,7,2,10586.0,103.0,0.3689320388349514,0.470873786407767,6546.0,7213.0,2513.0,0.3838985640085548,True,baseline_eligible,1,2.0,3,10586.0,33.333333333333336,33.333333333333336,33.333333333333336,0.0,61.836387681843945,0.0,38.163612318156055,0.0,semester_checkpoint_student_aggregate,2.0,1.5555555555555556,-0.4444444444444444,2.636363636363636,3.4444444444444446,0.8080808080808088,1.5454545454545454,1.6666666666666667,0.12121212121212133,0.3181818181818182,0.5,0.18181818181818182,2.5,3.2777777777777777,2.1666666666666665,2.611111111111111,2.555555555555556,0.2222222222222222,0.5,0.1666666666666666,0.2777777777777778,0.2777777777777778,semester_checkpoint_role_aggregate,success,False,1,0,4,No specific goals are mentioned in the commit subject.,,,,,,,,,,,unavailable_not_measured,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_02,2025.2,2.0,2.21875,1.75,-0.25,0.21875,-0.46875,declined,False,0.0,lower_repository_visible_planning,54.22885572139303,79.86525006478362,30,46,0.6521739130434783,3,1.5,1.0567660742940308,1.7375582395582252,0.7611546335199456,0.5133291456486304,5,0.4770642201834862,0.418348623853211,71,0.2816901408450704,0.5229185993639204,1.75,1.75,1.6666666666666667,-0.0833333333333332,175,115,6,5,159,30872.0,3.0628930817610063,0.1026694045174538,0.4394250513347023,28069.0,53210.0,6519.0,0.2322491004310805,True,baseline_eligible,0,0.0,201,30872.0,54.22885572139303,0.0,19.90049751243781,25.870646766169155,79.86525006478362,0.0,10.825343353200312,9.309406582016068,semester_checkpoint_student_aggregate,2.130434782608696,2.25,0.11956521739130421,3.0869565217391304,3.225,0.1380434782608697,1.4782608695652173,1.325,-0.15326086956521734,0.108695652173913,0.35,0.24130434782608698,2.3,2.725,2.075,2.05,2.425,0.15,0.35,0.075,0.1,0.125,semester_checkpoint_role_aggregate,unavailable_not_measured,,0,0,1,no_t1_commit_subjects,0.5151098901098901,12.0,23296.0,1.1319568179436117,54.0,47705.0,1.2867114871168013,40.0,31087.0,0.7716015970069112,available_transcript_corpus_2025_2,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_02,2026.1,2.4166666666666665,1.5833333333333337,2.458333333333333,0.0416666666666669,-0.833333333333333,0.875,stable,True,4.77912349311153,high_repository_visible_planning,28.571428571428573,24.19753086419753,24,85,0.2823529411764706,13,3.0,1.1108004100739286,1.125167743504737,0.6469074922977034,0.5770763549440266,7,0.25,0.2571428571428571,71,0.2112676056338028,0.6047675876419861,2.0,1.5,2.0,0.0,60,17,4,5,33,12555.0,5.0606060606060606,0.7305389221556886,0.1676646706586826,7553.0,24540.0,5278.0,0.6987951807228916,True,baseline_eligible,5,118.0,70,12555.0,28.571428571428573,15.714285714285714,30.0,25.714285714285715,24.19753086419753,10.673038630027875,29.16766228594185,35.961768219832734,semester_checkpoint_student_aggregate,2.0,1.5555555555555556,-0.4444444444444444,2.636363636363636,3.4444444444444446,0.8080808080808088,1.5454545454545454,1.6666666666666667,0.12121212121212133,0.3181818181818182,0.5,0.18181818181818182,2.5,3.2777777777777777,2.1666666666666665,2.611111111111111,2.555555555555556,0.2222222222222222,0.5,0.1666666666666666,0.2777777777777778,0.2777777777777778,semester_checkpoint_role_aggregate,success,True,11,1,3,No evidence of architecture or design was found in the commit subjects.,,,,,,,,,,,unavailable_not_measured,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_03,2025.2,2.25,1.875,2.40625,0.15625,-0.375,0.53125,improved,False,0.0,lower_repository_visible_planning,100.0,100.0,2,2,1.0,0,0.0,0.0,0.0,0.5032583347756457,0.3890789129721002,3,0.4444444444444444,0.1481481481481481,71,0.9014084507042254,0.49886609963044,1.875,1.625,1.875,0.0,112,22,4,6,5,15186.0,29.2,0.5,0.4657534246575342,15186.0,21198.0,0.0,0.0,False,baseline_not_observed,0,0.0,9,15186.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,semester_checkpoint_student_aggregate,2.130434782608696,2.25,0.11956521739130421,3.0869565217391304,3.225,0.1380434782608697,1.4782608695652173,1.325,-0.15326086956521734,0.108695652173913,0.35,0.24130434782608698,2.3,2.725,2.075,2.05,2.425,0.15,0.35,0.075,0.1,0.125,semester_checkpoint_role_aggregate,unavailable_not_measured,,0,0,1,no_t1_commit_subjects,0.5151098901098901,12.0,23296.0,1.1319568179436117,54.0,47705.0,1.2867114871168013,40.0,31087.0,0.7716015970069112,available_transcript_corpus_2025_2,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_03,2026.1,2.25,2.5,2.416666666666667,0.1666666666666669,0.25,-0.083333333333333,improved,True,4.74493212836325,high_repository_visible_planning,21.428571428571427,1.606864274570983,18,88,0.2045454545454545,24,2.0,1.2480188381623745,1.39071694400655,0.5861007230049902,0.4605793557724966,4,0.3333333333333333,0.1833333333333333,71,0.380281690140845,0.568958615114637,1.6666666666666667,2.0,2.0,0.3333333333333332,65,26,6,6,32,6410.0,4.1875,0.4328358208955223,0.4328358208955223,196.0,477.0,196.0,1.0,True,baseline_eligible,7,114.0,70,6410.0,21.428571428571427,35.714285714285715,41.42857142857143,1.4285714285714286,1.606864274570983,55.89703588143526,41.04524180967239,1.4508580343213728,semester_checkpoint_student_aggregate,2.0,1.5555555555555556,-0.4444444444444444,2.636363636363636,3.4444444444444446,0.8080808080808088,1.5454545454545454,1.6666666666666667,0.12121212121212133,0.3181818181818182,0.5,0.18181818181818182,2.5,3.2777777777777777,2.1666666666666665,2.611111111111111,2.555555555555556,0.2222222222222222,0.5,0.1666666666666666,0.2777777777777778,0.2777777777777778,semester_checkpoint_role_aggregate,success,True,25,4,0,,,,,,,,,,,,unavailable_not_measured,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_04,2025.2,2.125,2.3125,2.458333333333333,0.3333333333333335,0.1875,0.1458333333333334,improved,True,5.4510384535657,high_repository_visible_planning,52.94117647058823,62.16216216216216,15,53,0.2830188679245283,7,3.5,1.3605921772023974,1.5536851310066124,0.6216097645383668,0.4109837740880988,5,0.7037037037037037,0.5629629629629631,71,0.1830985915492957,0.4726284070563059,1.625,1.875,2.0,0.375,152,31,8,7,24,17689.0,8.833333333333334,0.5235849056603774,0.3962264150943396,12657.0,25088.0,860.0,0.0679465908193094,True,baseline_eligible,8,232.0,51,17649.0,52.94117647058823,17.647058823529413,21.568627450980397,7.84313725490196,62.16216216216216,0.7535837724516969,27.757946625871156,9.326307439514986,semester_checkpoint_student_aggregate,2.130434782608696,2.25,0.11956521739130421,3.0869565217391304,3.225,0.1380434782608697,1.4782608695652173,1.325,-0.15326086956521734,0.108695652173913,0.35,0.24130434782608698,2.3,2.725,2.075,2.05,2.425,0.15,0.35,0.075,0.1,0.125,semester_checkpoint_role_aggregate,success,False,9,0,4,No commit subjects indicate specific goals.,0.5151098901098901,12.0,23296.0,1.1319568179436117,54.0,47705.0,1.2867114871168013,40.0,31087.0,0.7716015970069112,available_transcript_corpus_2025_2,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_04,2026.1,1.4166666666666667,0.875,1.9583333333333333,0.5416666666666665,-0.5416666666666667,1.0833333333333333,improved,True,4.382026634673881,high_repository_visible_planning,58.333333333333336,92.0085066162571,10,112,0.0892857142857142,95,3.0,2.048034287907418,2.8191362672670137,0.4509495788272492,0.2869088386542521,2,0.7142857142857143,0.2142857142857142,71,0.8309859154929577,0.1894163922595728,1.3333333333333333,0.8333333333333334,1.8333333333333333,0.5,164,60,6,4,18,21160.0,15.555555555555555,0.0,0.0285714285714285,19469.0,88966.0,863.0,0.0443268786275617,True,baseline_eligible,3,79.0,24,21160.0,58.333333333333336,41.66666666666666,0.0,0.0,92.0085066162571,7.991493383742911,0.0,0.0,semester_checkpoint_student_aggregate,2.0,1.5555555555555556,-0.4444444444444444,2.636363636363636,3.4444444444444446,0.8080808080808088,1.5454545454545454,1.6666666666666667,0.12121212121212133,0.3181818181818182,0.5,0.18181818181818182,2.5,3.2777777777777777,2.1666666666666665,2.611111111111111,2.555555555555556,0.2222222222222222,0.5,0.1666666666666666,0.2777777777777778,0.2777777777777778,semester_checkpoint_role_aggregate,success,True,10,7,2,No evidence of task decomposition found in the commit subjects.,,,,,,,,,,,unavailable_not_measured,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_05,2025.2,1.875,2.28125,2.28125,0.40625,0.40625,0.0,improved,False,0.0,lower_repository_visible_planning,100.0,100.0,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,71,0.9014084507042254,0.3873239436619718,1.75,1.75,1.875,0.125,28,6,4,6,1,2482.0,28.0,0.8571428571428571,0.1428571428571428,2482.0,7110.0,0.0,0.0,False,baseline_not_observed,0,0.0,1,2482.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,semester_checkpoint_student_aggregate,2.130434782608696,2.25,0.11956521739130421,3.0869565217391304,3.225,0.1380434782608697,1.4782608695652173,1.325,-0.15326086956521734,0.108695652173913,0.35,0.24130434782608698,2.3,2.725,2.075,2.05,2.425,0.15,0.35,0.075,0.1,0.125,semester_checkpoint_role_aggregate,unavailable_not_measured,,0,0,1,no_t1_commit_subjects,0.5151098901098901,12.0,23296.0,1.1319568179436117,54.0,47705.0,1.2867114871168013,40.0,31087.0,0.7716015970069112,available_transcript_corpus_2025_2,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
TEAM_05,2026.1,2.4166666666666665,1.6666666666666667,2.291666666666667,-0.1249999999999995,-0.7499999999999998,0.6250000000000002,declined,True,5.407171771460119,high_repository_visible_planning,11.570247933884298,10.074643543556968,33,96,0.34375,12,3.5,0.7732022228893594,1.6333086956588028,0.7080576821306062,0.5012653730994,4,0.5,0.3571428571428572,71,0.1408450704225352,0.6559261621848707,2.0,1.5,1.8333333333333333,-0.1666666666666667,154,31,6,5,75,22373.0,6.32,0.3544303797468354,0.6265822784810127,7405.0,8246.0,4302.0,0.5809588116137745,True,baseline_eligible,4,222.0,121,22373.0,11.570247933884298,33.05785123966942,34.710743801652896,20.66115702479339,10.074643543556968,49.720645420819736,25.816832789523087,14.38787824610021,semester_checkpoint_student_aggregate,2.0,1.5555555555555556,-0.4444444444444444,2.636363636363636,3.4444444444444446,0.8080808080808088,1.5454545454545454,1.6666666666666667,0.12121212121212133,0.3181818181818182,0.5,0.18181818181818182,2.5,3.2777777777777777,2.1666666666666665,2.611111111111111,2.555555555555556,0.2222222222222222,0.5,0.1666666666666666,0.2777777777777778,0.2777777777777778,semester_checkpoint_role_aggregate,success,True,40,7,0,,,,,,,,,,,,unavailable_not_measured,global_transcript_corpus_by_temporal_marker,False,False,complete_core_metrics,True
