Semestre,temporal_marker,topic,count,respondent_n,share_of_topic_assignments,coding_status
2025.2,T1,other_or_insufficient_evidence,16,58,0.27586206896551724,exploratory_rule_based_unvalidated
2025.2,T1,productivity_and_speed,10,58,0.1724137931034483,exploratory_rule_based_unvalidated
2025.2,T1,replacement_or_job_risk,7,58,0.1206896551724138,exploratory_rule_based_unvalidated
2025.2,T1,skills_and_learning,3,58,0.05172413793103448,exploratory_rule_based_unvalidated
2025.2,T1,task_or_role_change,5,58,0.08620689655172414,exploratory_rule_based_unvalidated
2025.2,T1,uncertainty_or_condition,17,58,0.29310344827586204,exploratory_rule_based_unvalidated
2025.2,T2,other_or_insufficient_evidence,15,55,0.2727272727272727,exploratory_rule_based_unvalidated
2025.2,T2,productivity_and_speed,7,55,0.12727272727272726,exploratory_rule_based_unvalidated
2025.2,T2,replacement_or_job_risk,5,55,0.09090909090909091,exploratory_rule_based_unvalidated
2025.2,T2,skills_and_learning,7,55,0.12727272727272726,exploratory_rule_based_unvalidated
2025.2,T2,task_or_role_change,5,55,0.09090909090909091,exploratory_rule_based_unvalidated
2025.2,T2,uncertainty_or_condition,16,55,0.2909090909090909,exploratory_rule_based_unvalidated
2025.2,T3,other_or_insufficient_evidence,14,46,0.30434782608695654,exploratory_rule_based_unvalidated
2025.2,T3,productivity_and_speed,4,46,0.08695652173913043,exploratory_rule_based_unvalidated
2025.2,T3,replacement_or_job_risk,4,46,0.08695652173913043,exploratory_rule_based_unvalidated
2025.2,T3,skills_and_learning,7,46,0.15217391304347827,exploratory_rule_based_unvalidated
2025.2,T3,task_or_role_change,6,46,0.13043478260869565,exploratory_rule_based_unvalidated
2025.2,T3,uncertainty_or_condition,11,46,0.2391304347826087,exploratory_rule_based_unvalidated
2026.1,T1,other_or_insufficient_evidence,9,25,0.36,exploratory_rule_based_unvalidated
2026.1,T1,productivity_and_speed,4,25,0.16,exploratory_rule_based_unvalidated
2026.1,T1,replacement_or_job_risk,1,25,0.04,exploratory_rule_based_unvalidated
2026.1,T1,skills_and_learning,2,25,0.08,exploratory_rule_based_unvalidated
2026.1,T1,task_or_role_change,3,25,0.12,exploratory_rule_based_unvalidated
2026.1,T1,uncertainty_or_condition,6,25,0.24,exploratory_rule_based_unvalidated
2026.1,T2,other_or_insufficient_evidence,7,27,0.25925925925925924,exploratory_rule_based_unvalidated
2026.1,T2,productivity_and_speed,6,27,0.2222222222222222,exploratory_rule_based_unvalidated
2026.1,T2,replacement_or_job_risk,1,27,0.037037037037037035,exploratory_rule_based_unvalidated
2026.1,T2,skills_and_learning,1,27,0.037037037037037035,exploratory_rule_based_unvalidated
2026.1,T2,task_or_role_change,7,27,0.25925925925925924,exploratory_rule_based_unvalidated
2026.1,T2,uncertainty_or_condition,5,27,0.18518518518518517,exploratory_rule_based_unvalidated
2026.1,T3,other_or_insufficient_evidence,9,23,0.391304347826087,exploratory_rule_based_unvalidated
2026.1,T3,productivity_and_speed,2,23,0.08695652173913043,exploratory_rule_based_unvalidated
2026.1,T3,replacement_or_job_risk,2,23,0.08695652173913043,exploratory_rule_based_unvalidated
2026.1,T3,skills_and_learning,1,23,0.043478260869565216,exploratory_rule_based_unvalidated
2026.1,T3,task_or_role_change,3,23,0.13043478260869565,exploratory_rule_based_unvalidated
2026.1,T3,uncertainty_or_condition,6,23,0.2608695652173913,exploratory_rule_based_unvalidated
