Semestre,temporal_marker,perception_family,category,count,respondent_n,share
2025.2,T1,ai_benefit,0,6,46,0.13043478260869565
2025.2,T1,ai_benefit,1,1,46,0.021739130434782608
2025.2,T1,ai_benefit,2,21,46,0.45652173913043476
2025.2,T1,ai_benefit,3,17,46,0.3695652173913043
2025.2,T1,ai_benefit,4,1,46,0.021739130434782608
2025.2,T1,ai_career_impact_5y,0,8,46,0.17391304347826086
2025.2,T1,ai_career_impact_5y,1,17,46,0.3695652173913043
2025.2,T1,ai_career_impact_5y,2,12,46,0.2608695652173913
2025.2,T1,ai_career_impact_5y,3,9,46,0.1956521739130435
2025.2,T1,autonomy_tool_dependency,2,16,46,0.34782608695652173
2025.2,T1,autonomy_tool_dependency,3,10,46,0.21739130434782608
2025.2,T1,autonomy_tool_dependency,4,20,46,0.43478260869565216
2025.2,T1,career_expectation,0,40,46,0.8695652173913043
2025.2,T1,career_expectation,1,3,46,0.06521739130434782
2025.2,T1,career_expectation,2,3,46,0.06521739130434782
2025.2,T1,project_challenges,0,35,46,0.7608695652173914
2025.2,T1,project_challenges,1,10,46,0.21739130434782608
2025.2,T1,project_challenges,2,1,46,0.021739130434782608
2025.2,T1,project_feeling,0,43,46,0.9347826086956522
2025.2,T1,project_feeling,1,1,46,0.021739130434782608
2025.2,T1,project_feeling,2,2,46,0.043478260869565216
2025.2,T2,ai_benefit,0,1,41,0.024390243902439025
2025.2,T2,ai_benefit,1,5,41,0.12195121951219512
2025.2,T2,ai_benefit,2,19,41,0.4634146341463415
2025.2,T2,ai_benefit,3,16,41,0.3902439024390244
2025.2,T2,ai_career_impact_5y,0,8,41,0.1951219512195122
2025.2,T2,ai_career_impact_5y,1,15,41,0.36585365853658536
2025.2,T2,ai_career_impact_5y,2,10,41,0.24390243902439024
2025.2,T2,ai_career_impact_5y,3,8,41,0.1951219512195122
2025.2,T2,autonomy_tool_dependency,1,1,41,0.024390243902439025
2025.2,T2,autonomy_tool_dependency,2,11,41,0.2682926829268293
2025.2,T2,autonomy_tool_dependency,3,15,41,0.36585365853658536
2025.2,T2,autonomy_tool_dependency,4,14,41,0.34146341463414637
2025.2,T2,career_expectation,0,24,41,0.5853658536585366
2025.2,T2,career_expectation,1,10,41,0.24390243902439024
2025.2,T2,career_expectation,2,5,41,0.12195121951219512
2025.2,T2,career_expectation,3,2,41,0.04878048780487805
