Semestre,temporal_marker,category,count,measure,respondent_n,share
2025.2,T1,Não,27,prior_ai_project_experience,46,0.5869565217391305
2025.2,T1,Sim,19,prior_ai_project_experience,46,0.41304347826086957
2025.2,T2,Não,20,prior_ai_project_experience,41,0.4878048780487805
2025.2,T2,Sim,21,prior_ai_project_experience,41,0.5121951219512195
2025.2,T3,Não,12,prior_ai_project_experience,40,0.3
2025.2,T3,Sim,28,prior_ai_project_experience,40,0.7
2026.1,T1,Não,15,prior_ai_project_experience,22,0.6818181818181818
2026.1,T1,Sim,7,prior_ai_project_experience,22,0.3181818181818182
2026.1,T2,Não,7,prior_ai_project_experience,20,0.35
2026.1,T2,Sim,13,prior_ai_project_experience,20,0.65
2026.1,T3,Não,1,prior_ai_project_experience,18,0.05555555555555555
2026.1,T3,Sim,17,prior_ai_project_experience,18,0.9444444444444444
