Semestre,temporal_marker,measure,category,count,respondent_n,share
2025.2,T1,general_frequency,Nunca,1,46,0.021739130434782608
2025.2,T1,general_frequency,Raramente,2,46,0.043478260869565216
2025.2,T1,general_frequency,Algumas vezes por mês,11,46,0.2391304347826087
2025.2,T1,general_frequency,Semanalmente,13,46,0.2826086956521739
2025.2,T1,general_frequency,Diariamente,19,46,0.41304347826086957
2025.2,T2,general_frequency,Nunca,0,41,0.0
2025.2,T2,general_frequency,Raramente,0,41,0.0
2025.2,T2,general_frequency,Algumas vezes por mês,6,41,0.14634146341463414
2025.2,T2,general_frequency,Semanalmente,16,41,0.3902439024390244
2025.2,T2,general_frequency,Diariamente,19,41,0.4634146341463415
2025.2,T3,general_frequency,Nunca,0,40,0.0
2025.2,T3,general_frequency,Raramente,1,40,0.025
2025.2,T3,general_frequency,Algumas vezes por mês,3,40,0.075
2025.2,T3,general_frequency,Semanalmente,18,40,0.45
2025.2,T3,general_frequency,Diariamente,18,40,0.45
2026.1,T1,general_frequency,Nunca,1,22,0.045454545454545456
2026.1,T1,general_frequency,Raramente,0,22,0.0
2026.1,T1,general_frequency,Algumas vezes por mês,5,22,0.22727272727272727
2026.1,T1,general_frequency,Semanalmente,4,22,0.18181818181818182
2026.1,T1,general_frequency,Diariamente,12,22,0.5454545454545454
2026.1,T2,general_frequency,Nunca,0,20,0.0
2026.1,T2,general_frequency,Raramente,0,20,0.0
2026.1,T2,general_frequency,Algumas vezes por mês,4,20,0.2
2026.1,T2,general_frequency,Semanalmente,3,20,0.15
2026.1,T2,general_frequency,Diariamente,13,20,0.65
2026.1,T3,general_frequency,Nunca,0,18,0.0
2026.1,T3,general_frequency,Raramente,0,18,0.0
2026.1,T3,general_frequency,Algumas vezes por mês,2,18,0.1111111111111111
2026.1,T3,general_frequency,Semanalmente,5,18,0.2777777777777778
2026.1,T3,general_frequency,Diariamente,11,18,0.6111111111111112
2025.2,T1,software_frequency,Nunca,0,46,0.0
2025.2,T1,software_frequency,Raramente,7,46,0.15217391304347827
2025.2,T1,software_frequency,Algumas vezes por mês,12,46,0.2608695652173913
2025.2,T1,software_frequency,Semanalmente,16,46,0.34782608695652173
2025.2,T1,software_frequency,Diariamente,11,46,0.2391304347826087
2025.2,T2,software_frequency,Nunca,1,41,0.024390243902439025
2025.2,T2,software_frequency,Raramente,0,41,0.0
2025.2,T2,software_frequency,Algumas vezes por mês,12,41,0.2926829268292683
2025.2,T2,software_frequency,Semanalmente,16,41,0.3902439024390244
2025.2,T2,software_frequency,Diariamente,12,41,0.2926829268292683
2025.2,T3,software_frequency,Nunca,0,40,0.0
2025.2,T3,software_frequency,Raramente,2,40,0.05
2025.2,T3,software_frequency,Algumas vezes por mês,10,40,0.25
2025.2,T3,software_frequency,Semanalmente,15,40,0.375
2025.2,T3,software_frequency,Diariamente,13,40,0.325
2026.1,T1,software_frequency,Nunca,1,22,0.045454545454545456
2026.1,T1,software_frequency,Raramente,1,22,0.045454545454545456
2026.1,T1,software_frequency,Algumas vezes por mês,6,22,0.2727272727272727
2026.1,T1,software_frequency,Semanalmente,5,22,0.22727272727272727
2026.1,T1,software_frequency,Diariamente,9,22,0.4090909090909091
2026.1,T2,software_frequency,Nunca,0,20,0.0
2026.1,T2,software_frequency,Raramente,0,20,0.0
2026.1,T2,software_frequency,Algumas vezes por mês,3,20,0.15
2026.1,T2,software_frequency,Semanalmente,7,20,0.35
2026.1,T2,software_frequency,Diariamente,10,20,0.5
2026.1,T3,software_frequency,Nunca,0,18,0.0
2026.1,T3,software_frequency,Raramente,0,18,0.0
2026.1,T3,software_frequency,Algumas vezes por mês,2,18,0.1111111111111111
2026.1,T3,software_frequency,Semanalmente,9,18,0.5
2026.1,T3,software_frequency,Diariamente,7,18,0.3888888888888889
