Semestre,ID_Equipe,temporal_marker,file_category,file_event_n,unique_file_n,churn_lines,churn_share,included_in_m4
2025.2,TEAM_01,T1,clean_source_or_test,33,30,1440.0,0.09131261889663919,True
2025.2,TEAM_01,T1,excluded_or_non_measurement,153,151,14330.0,0.9086873811033608,False
2025.2,TEAM_01,T3,clean_source_or_test,34,21,1713.0,0.0012534932067693025,True
2025.2,TEAM_01,T3,excluded_or_non_measurement,11792,11488,1364868.0,0.9987465067932307,False
2025.2,TEAM_02,T2,clean_source_or_test,73,33,2803.0,0.22552095904738917,True
2025.2,TEAM_02,T2,excluded_or_non_measurement,75,39,9626.0,0.7744790409526108,False
2025.2,TEAM_02,T3,clean_source_or_test,414,163,28069.0,0.5275136252584101,True
2025.2,TEAM_02,T3,excluded_or_non_measurement,240,150,25141.0,0.47248637474158994,False
2025.2,TEAM_03,T3,clean_source_or_test,146,112,15186.0,0.7163883385225022,True
2025.2,TEAM_03,T3,excluded_or_non_measurement,47,41,6012.0,0.2836116614774979,False
2025.2,TEAM_04,T1,clean_source_or_test,1,1,133.0,0.3308457711442786,True
2025.2,TEAM_04,T1,excluded_or_non_measurement,22,15,269.0,0.6691542288557214,False
2025.2,TEAM_04,T2,clean_source_or_test,73,47,4899.0,0.3508809626128062,True
2025.2,TEAM_04,T2,excluded_or_non_measurement,751,747,9063.0,0.6491190373871938,False
2025.2,TEAM_04,T3,clean_source_or_test,138,108,12657.0,0.5045041454081632,True
2025.2,TEAM_04,T3,excluded_or_non_measurement,468,424,12431.0,0.49549585459183676,False
2025.2,TEAM_05,T3,clean_source_or_test,28,28,2482.0,0.3490857946554149,True
2025.2,TEAM_05,T3,excluded_or_non_measurement,25,25,4628.0,0.6509142053445851,False
2025.2,TEAM_07,T1,clean_source_or_test,56,41,2407.0,0.9893136046033704,True
2025.2,TEAM_07,T1,excluded_or_non_measurement,6,5,26.0,0.010686395396629675,False
2025.2,TEAM_07,T2,clean_source_or_test,124,98,10724.0,0.9086595492289442,True
2025.2,TEAM_07,T2,excluded_or_non_measurement,31,19,1078.0,0.09134045077105575,False
2025.2,TEAM_07,T3,clean_source_or_test,152,98,5837.0,0.000496253781310132,True
2025.2,TEAM_07,T3,excluded_or_non_measurement,31942,10869,11756290.0,0.9995037462186899,False
2025.2,TEAM_08,T2,clean_source_or_test,47,32,1581.0,0.27707676130389064,True
2025.2,TEAM_08,T2,excluded_or_non_measurement,51,44,4125.0,0.7229232386961093,False
2025.2,TEAM_08,T3,clean_source_or_test,1,1,172.0,0.5657894736842105,True
2025.2,TEAM_08,T3,excluded_or_non_measurement,5,5,132.0,0.4342105263157895,False
2025.2,TEAM_09,T1,excluded_or_non_measurement,2,2,209.0,1.0,False
2025.2,TEAM_09,T2,clean_source_or_test,259,161,8536.0,0.06442118291661321,True
2025.2,TEAM_09,T2,excluded_or_non_measurement,749,677,123967.0,0.9355788170833867,False
2025.2,TEAM_09,T3,clean_source_or_test,402,171,27202.0,0.20169201224892302,True
2025.2,TEAM_09,T3,excluded_or_non_measurement,723,663,107667.0,0.7983079877510769,False
2025.2,TEAM_10,T2,clean_source_or_test,42,26,4825.0,0.1614738462568187,True
2025.2,TEAM_10,T2,excluded_or_non_measurement,131,120,25056.0,0.8385261537431813,False
2025.2,TEAM_10,T3,clean_source_or_test,18,14,1838.0,0.8346957311534968,True
2025.2,TEAM_10,T3,excluded_or_non_measurement,9,7,364.0,0.16530426884650318,False
2026.1,TEAM_01,T1,excluded_or_non_measurement,1,1,2.0,1.0,False
2026.1,TEAM_01,T2,clean_source_or_test,106,106,4040.0,0.264813843733613,True
2026.1,TEAM_01,T2,excluded_or_non_measurement,40,40,11216.0,0.735186156266387,False
2026.1,TEAM_01,T3,clean_source_or_test,100,100,6546.0,0.9075280743102732,True
2026.1,TEAM_01,T3,excluded_or_non_measurement,26,26,667.0,0.09247192568972688,False
2026.1,TEAM_02,T1,clean_source_or_test,18,13,1340.0,0.29797642873026464,True
2026.1,TEAM_02,T1,excluded_or_non_measurement,21,12,3157.0,0.7020235712697354,False
2026.1,TEAM_02,T2,clean_source_or_test,59,30,3662.0,0.3078086912667059,True
2026.1,TEAM_02,T2,excluded_or_non_measurement,46,35,8235.0,0.6921913087332942,False
2026.1,TEAM_02,T3,clean_source_or_test,90,34,7553.0,0.3077832110839446,True
2026.1,TEAM_02,T3,excluded_or_non_measurement,17,9,16987.0,0.6922167889160554,False
2026.1,TEAM_03,T1,clean_source_or_test,88,56,3583.0,0.4505784708249497,True
2026.1,TEAM_03,T1,excluded_or_non_measurement,49,37,4369.0,0.5494215291750503,False
2026.1,TEAM_03,T2,clean_source_or_test,37,24,2631.0,0.8378980891719745,True
2026.1,TEAM_03,T2,excluded_or_non_measurement,23,15,509.0,0.16210191082802547,False
2026.1,TEAM_03,T3,clean_source_or_test,9,5,196.0,0.4109014675052411,True
2026.1,TEAM_03,T3,excluded_or_non_measurement,9,3,281.0,0.589098532494759,False
2026.1,TEAM_04,T1,clean_source_or_test,34,25,1691.0,0.7555853440571939,True
2026.1,TEAM_04,T1,excluded_or_non_measurement,13,12,547.0,0.24441465594280606,False
2026.1,TEAM_04,T3,clean_source_or_test,246,151,19469.0,0.21883640941483262,True
2026.1,TEAM_04,T3,excluded_or_non_measurement,185,104,69497.0,0.7811635905851674,False
2026.1,TEAM_05,T1,clean_source_or_test,175,90,11124.0,0.6501081175851792,True
2026.1,TEAM_05,T1,excluded_or_non_measurement,39,16,5987.0,0.3498918824148209,False
2026.1,TEAM_05,T2,clean_source_or_test,161,87,3844.0,0.6601408208827065,True
2026.1,TEAM_05,T2,excluded_or_non_measurement,22,14,1979.0,0.33985917911729346,False
2026.1,TEAM_05,T3,clean_source_or_test,138,68,7405.0,0.8980111569245695,True
2026.1,TEAM_05,T3,excluded_or_non_measurement,26,18,841.0,0.10198884307543052,False
