Semestre,ID_Equipe,window_end_day,clean_churn_7d,unique_clean_file_n_7d,clean_file_event_n_7d,measurement_status
2026.1,TEAM_04,-63,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-62,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-61,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-60,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-59,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-58,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-57,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-56,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-55,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-54,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-53,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-52,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-51,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-50,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-49,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-48,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-47,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-46,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-45,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-44,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-43,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-42,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-41,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-40,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-39,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-38,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-37,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-36,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-35,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-34,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-33,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-32,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-31,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-30,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-29,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-28,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-27,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-26,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-25,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-24,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-23,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-22,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-21,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-20,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-19,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-18,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-17,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-16,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-15,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-14,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-13,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-12,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-11,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-10,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-9,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-8,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-7,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-6,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-5,0.0,0,0,no_clean_change_observed
2026.1,TEAM_04,-4,5047.0,55,59,available
2026.1,TEAM_04,-3,5047.0,55,59,available
2026.1,TEAM_04,-2,5047.0,55,59,available
2026.1,TEAM_04,-1,19441.0,151,245,available
2026.1,TEAM_04,0,19469.0,151,246,available
2026.1,TEAM_04,1,19469.0,151,246,available
2026.1,TEAM_04,2,19469.0,151,246,available
2026.1,TEAM_04,3,14422.0,122,187,available
2026.1,TEAM_04,4,14422.0,122,187,available
2026.1,TEAM_04,5,14422.0,122,187,available
2026.1,TEAM_04,6,28.0,1,1,available
2026.1,TEAM_04,7,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-63,10814.0,82,147,available
2026.1,TEAM_05,-62,10792.0,82,146,available
2026.1,TEAM_05,-61,10118.0,66,101,available
2026.1,TEAM_05,-60,10118.0,66,101,available
2026.1,TEAM_05,-59,10118.0,66,101,available
2026.1,TEAM_05,-58,10118.0,66,101,available
2026.1,TEAM_05,-57,9534.0,66,93,available
2026.1,TEAM_05,-56,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-55,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-54,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-53,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-52,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-51,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-50,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-49,564.0,21,29,available
2026.1,TEAM_05,-48,982.0,27,55,available
2026.1,TEAM_05,-47,1455.0,43,73,available
2026.1,TEAM_05,-46,1658.0,44,77,available
2026.1,TEAM_05,-45,1658.0,44,77,available
2026.1,TEAM_05,-44,1658.0,44,77,available
2026.1,TEAM_05,-43,1658.0,44,77,available
2026.1,TEAM_05,-42,1163.0,40,55,available
2026.1,TEAM_05,-41,1196.0,40,48,available
2026.1,TEAM_05,-40,723.0,27,30,available
2026.1,TEAM_05,-39,520.0,23,26,available
2026.1,TEAM_05,-38,520.0,23,26,available
2026.1,TEAM_05,-37,520.0,23,26,available
2026.1,TEAM_05,-36,520.0,23,26,available
2026.1,TEAM_05,-35,451.0,19,19,available
2026.1,TEAM_05,-34,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-33,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-32,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-31,223.0,10,13,available
2026.1,TEAM_05,-30,338.0,14,18,available
2026.1,TEAM_05,-29,802.0,27,35,available
2026.1,TEAM_05,-28,3598.0,56,86,available
2026.1,TEAM_05,-27,3603.0,56,87,available
2026.1,TEAM_05,-26,3603.0,56,87,available
2026.1,TEAM_05,-25,3603.0,56,87,available
2026.1,TEAM_05,-24,3380.0,48,74,available
2026.1,TEAM_05,-23,3265.0,47,69,available
2026.1,TEAM_05,-22,2801.0,36,52,available
2026.1,TEAM_05,-21,542.0,16,19,available
2026.1,TEAM_05,-20,537.0,15,18,available
2026.1,TEAM_05,-19,1496.0,35,41,available
2026.1,TEAM_05,-18,2980.0,50,61,available
2026.1,TEAM_05,-17,3037.0,52,63,available
2026.1,TEAM_05,-16,3037.0,52,63,available
2026.1,TEAM_05,-15,3099.0,52,69,available
2026.1,TEAM_05,-14,2562.0,40,51,available
2026.1,TEAM_05,-13,2562.0,40,51,available
2026.1,TEAM_05,-12,1603.0,23,28,available
2026.1,TEAM_05,-11,119.0,7,8,available
2026.1,TEAM_05,-10,62.0,5,6,available
2026.1,TEAM_05,-9,62.0,5,6,available
2026.1,TEAM_05,-8,0.0,0,0,no_clean_change_observed
2026.1,TEAM_05,-7,115.0,9,9,available
2026.1,TEAM_05,-6,1689.0,14,23,available
2026.1,TEAM_05,-5,1689.0,14,23,available
2026.1,TEAM_05,-4,1689.0,14,23,available
2026.1,TEAM_05,-3,1689.0,14,23,available
2026.1,TEAM_05,-2,1689.0,14,23,available
2026.1,TEAM_05,-1,1758.0,15,26,available
2026.1,TEAM_05,0,2254.0,18,31,available
2026.1,TEAM_05,1,680.0,11,17,available
2026.1,TEAM_05,2,680.0,11,17,available
2026.1,TEAM_05,3,680.0,11,17,available
2026.1,TEAM_05,4,680.0,11,17,available
2026.1,TEAM_05,5,680.0,11,17,available
