window_end_day,team_semester_n,active_team_semester_n,total_clean_churn_7d,median_clean_churn_7d,max_clean_churn_7d,median_unique_clean_file_n_7d,active_team_semester_share,aggregation_grain
-63,14,2,12702.0,0.0,10814.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-62,14,2,12360.0,0.0,10792.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-61,14,2,10619.0,0.0,10118.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-60,14,2,10890.0,0.0,10118.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-59,14,3,11769.0,0.0,10118.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-58,14,3,13224.0,0.0,10118.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-57,14,3,12640.0,0.0,9534.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-56,14,2,3545.0,0.0,2118.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-55,14,2,3723.0,0.0,2296.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-54,14,2,3723.0,0.0,2296.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-53,14,2,3452.0,0.0,2296.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-52,14,2,3923.0,0.0,3484.0,0.0,0.14285714285714285,relative_t3_window_across_semesters
-51,14,3,11138.0,0.0,10566.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-50,14,3,11138.0,0.0,10566.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-49,14,3,11421.0,0.0,10724.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-48,14,3,11661.0,0.0,10546.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-47,14,3,12134.0,0.0,10546.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-46,14,3,13407.0,0.0,10546.0,0.0,0.21428571428571427,relative_t3_window_across_semesters
-45,14,4,12262.0,0.0,9196.0,0.0,0.2857142857142857,relative_t3_window_across_semesters
-44,14,4,3091.0,0.0,1658.0,0.0,0.2857142857142857,relative_t3_window_across_semesters
-43,14,4,3091.0,0.0,1658.0,0.0,0.2857142857142857,relative_t3_window_across_semesters
-42,14,4,3898.0,0.0,1163.0,0.0,0.2857142857142857,relative_t3_window_across_semesters
-41,14,5,4060.0,0.0,1196.0,0.0,0.35714285714285715,relative_t3_window_across_semesters
-40,14,5,3756.0,0.0,1070.0,0.0,0.35714285714285715,relative_t3_window_across_semesters
