ID_Equipe,Semestre,temporal_marker,checkpoint_anchor,window_start,window_end,commit_n_7d,repository_inactive_7d,measurement_status
TEAM_01,2025.2,T1,2025-10-24 13:42:28+00:00,2025-10-17 13:42:28+00:00,2025-10-24 13:42:28+00:00,0,True,available
TEAM_01,2025.2,T2,2025-11-21 14:59:01+00:00,2025-11-14 14:59:01+00:00,2025-11-21 14:59:01+00:00,1,False,available
TEAM_01,2025.2,T3,2025-12-12 13:29:05+00:00,2025-12-05 13:29:05+00:00,2025-12-12 13:29:05+00:00,11,False,available
TEAM_01,2026.1,T1,2026-04-24 12:58:19+00:00,2026-04-17 12:58:19+00:00,2026-04-24 12:58:19+00:00,0,True,available
TEAM_01,2026.1,T2,2026-05-22 13:21:59+00:00,2026-05-15 13:21:59+00:00,2026-05-22 13:21:59+00:00,1,False,available
TEAM_01,2026.1,T3,2026-06-19 13:26:03+00:00,2026-06-12 13:26:03+00:00,2026-06-19 13:26:03+00:00,1,False,available
TEAM_02,2025.2,T1,2025-10-17 13:45:15+00:00,2025-10-10 13:45:15+00:00,2025-10-17 13:45:15+00:00,0,True,available
TEAM_02,2025.2,T2,2025-11-14 12:50:38+00:00,2025-11-07 12:50:38+00:00,2025-11-14 12:50:38+00:00,19,False,available
TEAM_02,2025.2,T3,2025-12-05 12:54:04+00:00,2025-11-28 12:54:04+00:00,2025-12-05 12:54:04+00:00,109,False,available
TEAM_02,2026.1,T1,2026-04-24 13:56:27+00:00,2026-04-17 13:56:27+00:00,2026-04-24 13:56:27+00:00,8,False,available
TEAM_02,2026.1,T2,2026-05-22 12:48:52+00:00,2026-05-15 12:48:52+00:00,2026-05-22 12:48:52+00:00,16,False,available
TEAM_02,2026.1,T3,2026-06-19 12:34:12+00:00,2026-06-12 12:34:12+00:00,2026-06-19 12:34:12+00:00,20,False,available
TEAM_03,2025.2,T1,2025-10-24 13:10:55+00:00,2025-10-17 13:10:55+00:00,2025-10-24 13:10:55+00:00,0,True,available
TEAM_03,2025.2,T2,2025-11-21 12:56:01+00:00,2025-11-14 12:56:01+00:00,2025-11-21 12:56:01+00:00,0,True,available
TEAM_03,2025.2,T3,2025-12-12 12:43:55+00:00,2025-12-05 12:43:55+00:00,2025-12-12 12:43:55+00:00,9,False,available
TEAM_03,2026.1,T1,2026-04-24 12:28:07+00:00,2026-04-17 12:28:07+00:00,2026-04-24 12:28:07+00:00,11,False,available
TEAM_03,2026.1,T2,2026-05-22 12:28:32+00:00,2026-05-15 12:28:32+00:00,2026-05-22 12:28:32+00:00,15,False,available
TEAM_03,2026.1,T3,2026-06-19 12:07:49+00:00,2026-06-12 12:07:49+00:00,2026-06-19 12:07:49+00:00,15,False,available
TEAM_04,2025.2,T1,2025-10-17 12:15:33+00:00,2025-10-10 12:15:33+00:00,2025-10-17 12:15:33+00:00,9,False,available
TEAM_04,2025.2,T2,2025-11-14 13:19:41+00:00,2025-11-07 13:19:41+00:00,2025-11-14 13:19:41+00:00,5,False,available
TEAM_04,2025.2,T3,2025-12-05 11:53:02+00:00,2025-11-28 11:53:02+00:00,2025-12-05 11:53:02+00:00,27,False,available
TEAM_04,2026.1,T1,2026-04-24 16:50:07+00:00,2026-04-17 16:50:07+00:00,2026-04-24 16:50:07+00:00,0,True,available
TEAM_04,2026.1,T2,2026-05-22 14:18:11+00:00,2026-05-15 14:18:11+00:00,2026-05-22 14:18:11+00:00,0,True,available
TEAM_04,2026.1,T3,2026-06-19 13:53:17+00:00,2026-06-12 13:53:17+00:00,2026-06-19 13:53:17+00:00,14,False,available
TEAM_05,2025.2,T1,2025-10-24 14:16:59+00:00,2025-10-17 14:16:59+00:00,2025-10-24 14:16:59+00:00,0,True,available
TEAM_05,2025.2,T2,2025-11-21 14:14:08+00:00,2025-11-14 14:14:08+00:00,2025-11-21 14:14:08+00:00,0,True,available
TEAM_05,2025.2,T3,2025-12-12 13:30:13+00:00,2025-12-05 13:30:13+00:00,2025-12-12 13:30:13+00:00,1,False,available
TEAM_05,2026.1,T1,2026-04-24 13:33:05+00:00,2026-04-17 13:33:05+00:00,2026-04-24 13:33:05+00:00,0,True,available
TEAM_05,2026.1,T2,2026-05-22 13:47:14+00:00,2026-05-15 13:47:14+00:00,2026-05-22 13:47:14+00:00,21,False,available
