tier,window_end_day,team_semester_n,mean_team_window_clean_churn_share_pct,median_team_window_clean_churn_share_pct,ci95_lower,ci95_upper
High evaluator score + good planning,-6,4,1.067724222086638,0.0,0.0,3.2031726662599143
High evaluator score + good planning,-5,4,3.3226941550901326,1.8054245937101336,0.0,7.259945574705197
High evaluator score + good planning,-4,4,3.3226941550901326,1.8054245937101336,0.0,7.259945574705197
High evaluator score + good planning,-3,4,5.25707764835099,4.839963716470131,0.0,10.51415529670198
High evaluator score + good planning,-2,4,10.003691806024086,9.253647419715488,2.5884411040559803,18.168986894300787
High evaluator score + good planning,-1,4,17.159654401958583,14.696176900083508,4.076765211603528,31.473080461552254
High evaluator score + good planning,0,4,59.86646361139944,50.109795318965226,39.30694685783133,84.84190747699884
Lower evaluator score / weaker planning,-6,9,1.8185149498762354,0.0,0.0,4.831546444885735
Lower evaluator score / weaker planning,-5,9,3.197366442293699,0.0,0.0,7.1510027395667946
Lower evaluator score / weaker planning,-4,9,4.6113056998081765,0.0,1.3768819047758007,8.31474773484724
Lower evaluator score / weaker planning,-3,9,5.701380467137428,7.964369350637981,2.272437284285951,9.208333526715727
Lower evaluator score / weaker planning,-2,9,5.808136234745442,8.04227212681638,2.370537187874143,9.352245242345303
Lower evaluator score / weaker planning,-1,9,17.222558408751755,14.1125471622381,7.461885372247628,27.507473640081002
Lower evaluator score / weaker planning,0,9,61.64073779738726,53.9624871418879,43.132211929126235,80.88153945503454
