ID_Equipe,Semestre,technical_complexity_mean_t1,technical_complexity_mean_t2,technical_complexity_mean_t3,delta_technical_complexity_t3_minus_t1,clean_distinct_file_n,clean_distinct_directory_n,clean_max_path_depth,clean_extension_n,clean_touching_commit_n_inferred,clean_total_churn_inferred,frontend_clean_file_event_n,backend_clean_file_event_n,mixed_clean_file_event_n,unclassified_clean_file_event_n,mean_clean_files_per_commit,frontend_clean_file_event_share,backend_clean_file_event_share,clean_churn_t3,all_churn_t3,m4_clean_unique_file_n_t3,m4_clean_touching_commit_n_t3,clean_rework_churn_t3,clean_rework_ratio_t3,baseline_eligible_for_rework_t3,measurement_status,planning_artifact_present_t1,planning_scope_log1p_t1,pi_file_count_t1,pi_line_delta_t1,score_trajectory_group,planning_scope_tier,final7_commit_share_pct,final7_clean_churn_share_pct
TEAM_01,2025.2,1.25,1.25,1.125,-0.125,44,20,9,4,14,3153.0,37,30,0,0,4.785714285714286,0.5522388059701493,0.44776119402985076,1713.0,1366581.0,21,10,262.0,0.1529480443666082,True,baseline_eligible,True,4.143134726391533,4,62.0,stable,high_repository_visible_planning,57.89473684210526,42.40405962575325
TEAM_01,2026.1,1.5,1.8333333333333333,2.0,0.5,159,44,5,7,2,10586.0,76,97,33,0,103.0,0.36893203883495146,0.470873786407767,6546.0,7213.0,100,1,2513.0,0.3838985640085548,True,baseline_eligible,True,1.0986122886681096,1,2.0,improved,lower_repository_visible_planning,33.333333333333336,61.836387681843945
TEAM_02,2025.2,1.75,1.75,1.6666666666666667,-0.08333333333333326,175,115,6,5,159,30872.0,50,214,5,218,3.0628930817610063,0.1026694045174538,0.4394250513347023,28069.0,53210.0,163,133,6519.0,0.2322491004310805,True,baseline_eligible,False,0.0,0,0.0,declined,lower_repository_visible_planning,54.22885572139303,79.86525006478362
TEAM_02,2026.1,2.0,1.5,2.0,0.0,60,17,4,5,33,12555.0,122,28,7,10,5.0606060606060606,0.7305389221556886,0.16766467065868262,7553.0,24540.0,34,19,5278.0,0.6987951807228916,True,baseline_eligible,True,4.77912349311153,5,118.0,stable,high_repository_visible_planning,28.571428571428573,24.19753086419753
TEAM_03,2025.2,1.875,1.625,1.875,0.0,112,22,4,6,5,15186.0,73,68,4,1,29.2,0.5,0.4657534246575342,15186.0,21198.0,112,5,0.0,0.0,False,baseline_not_observed,False,0.0,0,0.0,improved,lower_repository_visible_planning,100.0,100.0
TEAM_03,2026.1,1.6666666666666667,2.0,2.0,0.33333333333333326,65,26,6,6,32,6410.0,58,58,13,5,4.1875,0.43283582089552236,0.43283582089552236,196.0,477.0,5,5,196.0,1.0,True,baseline_eligible,True,4.74493212836325,7,114.0,improved,high_repository_visible_planning,21.428571428571427,1.606864274570983
TEAM_04,2025.2,1.625,1.875,2.0,0.375,152,31,8,7,24,17689.0,111,84,2,15,8.833333333333334,0.5235849056603774,0.39622641509433965,12657.0,25088.0,108,15,860.0,0.0679465908193094,True,baseline_eligible,True,5.4510384535657,8,232.0,improved,high_repository_visible_planning,52.94117647058823,62.16216216216216
TEAM_04,2026.1,1.3333333333333333,0.8333333333333334,1.8333333333333333,0.5,164,60,6,4,18,21160.0,0,8,0,272,15.555555555555555,0.0,0.02857142857142857,19469.0,88966.0,151,9,863.0,0.0443268786275617,True,baseline_eligible,True,4.382026634673881,3,79.0,improved,high_repository_visible_planning,58.333333333333336,92.0085066162571
TEAM_05,2025.2,1.75,1.75,1.875,0.125,28,6,4,6,1,2482.0,24,4,0,0,28.0,0.8571428571428571,0.14285714285714285,2482.0,7110.0,28,1,0.0,0.0,False,baseline_not_observed,False,0.0,0,0.0,improved,lower_repository_visible_planning,100.0,100.0
TEAM_05,2026.1,2.0,1.5,1.8333333333333333,-0.16666666666666674,154,31,6,5,75,22373.0,168,297,7,2,6.32,0.35443037974683544,0.6265822784810127,7405.0,8246.0,68,23,4302.0,0.5809588116137745,True,baseline_eligible,True,5.407171771460119,4,222.0,declined,high_repository_visible_planning,11.570247933884298,10.074643543556968
TEAM_07,2025.2,1.875,1.75,2.0,0.125,227,62,5,4,42,18968.0,97,202,0,33,7.904761904761905,0.2921686746987952,0.608433734939759,5837.0,11762127.0,98,19,0.0,0.0,True,baseline_eligible,True,2.4849066497880004,3,11.0,stable,high_repository_visible_planning,8.219178082191782,6.368620835090679
TEAM_08,2025.2,1.75,1.625,1.8333333333333333,0.08333333333333326,32,13,5,6,12,1753.0,26,9,0,13,4.0,0.5416666666666666,0.1875,172.0,304.0,1,1,172.0,1.0,True,baseline_eligible,False,0.0,0,0.0,stable,lower_repository_visible_planning,3.8461538461538463,0.0
TEAM_09,2025.2,1.375,1.5,1.6666666666666667,0.29166666666666674,250,72,8,7,80,35738.0,315,327,13,6,8.2625,0.47655068078668683,0.4947049924357035,27202.0,134869.0,171,59,15518.0,0.5704727593559297,True,baseline_eligible,True,1.0986122886681096,1,2.0,improved,lower_repository_visible_planning,48.598130841121495,26.70546756953383
TEAM_10,2025.2,1.0,1.75,2.0,1.0,34,9,5,5,9,6663.0,47,13,0,0,6.666666666666667,0.7833333333333333,0.21666666666666667,1838.0,2202.0,14,3,825.0,0.4488574537540805,True,baseline_eligible,False,0.0,0,0.0,improved,lower_repository_visible_planning,38.888888888888886,27.585171844514484
