window_end_day,team_semester_n,active_team_semester_n,total_commit_n,mean_commit_n,median_commit_n,max_commit_n,median_active_days,median_max_author_share,median_author_gini,active_team_semester_share,aggregation_grain
-21,14,10,95,6.785714285714286,5.5,30,2.0,0.5357142857142857,0.3061688311688312,0.7142857142857143,temporal_marker_relative_to_t3_anchor
-20,14,10,81,5.785714285714286,4.5,22,2.5,0.6477272727272727,0.2787878787878788,0.7142857142857143,temporal_marker_relative_to_t3_anchor
-19,14,10,84,6.0,5.0,21,3.0,0.6607142857142857,0.23269230769230775,0.7142857142857143,temporal_marker_relative_to_t3_anchor
-18,14,9,89,6.357142857142857,6.0,21,2.5,0.5714285714285714,0.3571428571428572,0.6428571428571429,temporal_marker_relative_to_t3_anchor
-17,14,9,93,6.642857142857143,6.0,16,2.5,0.4666666666666667,0.31666666666666665,0.6428571428571429,temporal_marker_relative_to_t3_anchor
-16,14,9,115,8.214285714285714,6.0,28,2.0,0.5,0.34693877551020424,0.6428571428571429,temporal_marker_relative_to_t3_anchor
-15,14,9,107,7.642857142857143,1.5,27,1.0,0.5555555555555556,0.35164835164835173,0.6428571428571429,temporal_marker_relative_to_t3_anchor
-14,14,6,78,5.571428571428571,0.0,25,0.0,0.6777777777777778,0.3913398692810457,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-13,14,6,84,6.0,0.0,25,0.0,0.6388888888888888,0.3913398692810457,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-12,14,6,77,5.5,0.0,25,0.0,0.5486111111111112,0.37138605442176875,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-11,14,6,67,4.785714285714286,0.0,25,0.0,0.6111111111111112,0.2857142857142858,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-10,14,6,58,4.142857142857143,0.0,23,0.0,0.6607142857142857,0.294047619047619,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-9,14,6,40,2.857142857142857,0.0,16,0.0,0.5357142857142857,0.16666666666666674,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-8,14,6,43,3.0714285714285716,0.0,25,0.0,0.5933333333333333,0.16666666666666674,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-7,14,5,52,3.7142857142857144,0.0,36,0.0,0.6666666666666666,0.16666666666666674,0.35714285714285715,temporal_marker_relative_to_t3_anchor
-6,14,4,56,4.0,0.0,40,0.0,0.5833333333333333,0.08333333333333337,0.2857142857142857,temporal_marker_relative_to_t3_anchor
-5,14,6,59,4.214285714285714,0.0,40,0.0,0.5357142857142857,0.0,0.42857142857142855,temporal_marker_relative_to_t3_anchor
-4,14,7,73,5.214285714285714,0.5,49,0.5,0.5,0.0,0.5,temporal_marker_relative_to_t3_anchor
-3,14,8,95,6.785714285714286,1.5,65,1.0,0.75,0.0,0.5714285714285714,temporal_marker_relative_to_t3_anchor
-2,14,9,100,7.142857142857143,2.5,67,1.0,1.0,0.0,0.6428571428571429,temporal_marker_relative_to_t3_anchor
-1,14,10,159,11.357142857142858,7.0,77,2.5,0.595959595959596,0.20050125313283207,0.7142857142857143,temporal_marker_relative_to_t3_anchor
0,14,14,294,21.0,12.5,109,3.5,0.5,0.21825396825396826,1.0,temporal_marker_relative_to_t3_anchor
1,14,14,302,21.571428571428573,12.5,103,3.0,0.46494066882416396,0.22048611111111116,1.0,temporal_marker_relative_to_t3_anchor
2,14,14,298,21.285714285714285,12.0,103,3.0,0.49271844660194175,0.22222222222222232,1.0,temporal_marker_relative_to_t3_anchor
3,14,14,284,20.285714285714285,11.5,94,3.0,0.5,0.22222222222222232,1.0,temporal_marker_relative_to_t3_anchor
4,14,14,262,18.714285714285715,11.5,78,3.0,0.5,0.22222222222222232,1.0,temporal_marker_relative_to_t3_anchor
5,14,14,246,17.571428571428573,11.5,68,2.5,0.5,0.22048611111111116,1.0,temporal_marker_relative_to_t3_anchor
6,14,14,178,12.714285714285714,8.5,43,2.0,0.5603864734299517,0.203125,1.0,temporal_marker_relative_to_t3_anchor
7,14,7,28,2.0,0.5,12,0.5,1.0,0.0,0.5,temporal_marker_relative_to_t3_anchor
