Semestre,ID_Equipe,repository,presentation_anchor,total_commit_n,pre_commit_n,post_commit_n,final_window_commit_n,pre_share,post_share,final_window_share,small_denominator_lt_10,measurement_status
2025.2,TEAM_01,extensao3-2025_2-team_01-software_development_extension_lll-1930641bc289,2025-12-12 10:29:05-03:00,19,11,0,11,0.5789473684210527,0.0,0.5789473684210527,False,available
2025.2,TEAM_02,extensao3-2025_2-team_02-EstudaAI-1953213cc45b,2025-12-05 09:54:04-03:00,201,109,0,109,0.5422885572139303,0.0,0.5422885572139303,False,available
2025.2,TEAM_03,extensao3-2025_2-team_03-career-path-ai-671a7f548397,2025-12-12 09:43:55-03:00,9,9,0,9,1.0,0.0,1.0,True,available
2025.2,TEAM_04,extensao3-2025_2-team_04-Bulicoso-1596a9c51e60,2025-12-05 08:53:02-03:00,63,27,12,39,0.42857142857142855,0.19047619047619047,0.6190476190476191,False,available
2025.2,TEAM_05,extensao3-2025_2-team_05-ecoroteiro-ex3-829bfc0e2da3,2025-12-12 10:30:13-03:00,3,1,2,3,0.3333333333333333,0.6666666666666666,1.0,True,available
2025.2,TEAM_07,extensao3-2025_2-team_07-Projeto-Research-Flow-52c168a459d8,2025-12-12 09:44:15-03:00,74,6,1,7,0.08108108108108109,0.013513513513513514,0.0945945945945946,False,available
2025.2,TEAM_08,extensao3-2025_2-team_08-ExamForge-80e19be1a764,2025-12-05 09:20:15-03:00,60,8,6,14,0.13333333333333333,0.1,0.23333333333333334,False,available
2025.2,TEAM_09,extensao3-2025_2-team_09-SoFiA-59690ae48d74,2025-12-05 10:21:51-03:00,107,52,0,52,0.48598130841121495,0.0,0.48598130841121495,False,available
2025.2,TEAM_10,extensao3-2025_2-team_10-Extensao-3-Synapse-1ea204dc650c,2025-12-05 10:38:16-03:00,18,7,0,7,0.3888888888888889,0.0,0.3888888888888889,False,available
2026.1,TEAM_01,extensao3-2026_1-team1-foodguard-4f38369906d5,2026-06-19 10:26:03-03:00,3,1,0,1,0.3333333333333333,0.0,0.3333333333333333,True,available
2026.1,TEAM_02,extensao3-2026_1-team2-revisai-fc0269144b84,2026-06-19 09:34:12-03:00,70,20,0,20,0.2857142857142857,0.0,0.2857142857142857,False,available
2026.1,TEAM_03,extensao3-2026_1-team3-interview-17c184cfaa5e,2026-06-19 09:07:49-03:00,71,15,1,16,0.2112676056338028,0.014084507042253521,0.22535211267605634,False,available
2026.1,TEAM_04,extensao3-2026_1-team4-SmartFlow-WhatsApp-AI-2d2e1132b2a4,2026-06-19 10:53:17-03:00,27,14,3,17,0.5185185185185185,0.1111111111111111,0.6296296296296297,False,available
2026.1,TEAM_05,extensao3-2026_1-team5-enembot-836dc10bc759,2026-06-19 09:53:17-03:00,124,14,3,17,0.11290322580645161,0.024193548387096774,0.13709677419354838,False,available
