Semestre,ID_Equipe,temporal_marker,clean_touching_commit_n,median_clean_churn_per_touching_commit,max_clean_churn_per_touching_commit,clean_unique_file_n,measurement_status
2025.2,TEAM_01,T1,4,214.5,865.0,30,available
2025.2,TEAM_01,T2,0,,,0,no_clean_change_observed
2025.2,TEAM_01,T3,10,115.5,490.0,21,available
2025.2,TEAM_02,T1,0,,,0,no_clean_change_observed
2025.2,TEAM_02,T2,26,50.0,543.0,33,available
2025.2,TEAM_02,T3,133,24.0,14517.0,163,available
2025.2,TEAM_03,T1,0,,,0,no_clean_change_observed
2025.2,TEAM_03,T2,0,,,0,no_clean_change_observed
2025.2,TEAM_03,T3,5,341.0,14027.0,112,available
2025.2,TEAM_04,T1,1,133.0,133.0,1,available
2025.2,TEAM_04,T2,8,453.0,2346.0,47,available
2025.2,TEAM_04,T3,15,69.0,9213.0,108,available
2025.2,TEAM_05,T1,0,,,0,no_clean_change_observed
2025.2,TEAM_05,T2,0,,,0,no_clean_change_observed
2025.2,TEAM_05,T3,1,2482.0,2482.0,28,available
2025.2,TEAM_07,T1,6,270.5,899.0,41,available
2025.2,TEAM_07,T2,17,77.0,8587.0,98,available
2025.2,TEAM_07,T3,19,289.0,1142.0,98,available
2025.2,TEAM_08,T1,0,,,0,no_clean_change_observed
2025.2,TEAM_08,T2,11,54.0,652.0,32,available
2025.2,TEAM_08,T3,1,172.0,172.0,1,available
2025.2,TEAM_09,T1,0,,,0,no_clean_change_observed
2025.2,TEAM_09,T2,21,87.0,5050.0,161,available
2025.2,TEAM_09,T3,59,127.0,8160.0,171,available
2025.2,TEAM_10,T1,0,,,0,no_clean_change_observed
2025.2,TEAM_10,T2,6,1016.5,1380.0,26,available
2025.2,TEAM_10,T3,3,601.0,1227.0,14,available
2026.1,TEAM_01,T1,0,,,0,no_clean_change_observed
2026.1,TEAM_01,T2,1,4040.0,4040.0,106,available
2026.1,TEAM_01,T3,1,6546.0,6546.0,100,available
2026.1,TEAM_02,T1,2,670.0,693.0,13,available
2026.1,TEAM_02,T2,12,153.5,1384.0,30,available
2026.1,TEAM_02,T3,19,83.0,1976.0,34,available
2026.1,TEAM_03,T1,16,134.0,1062.0,56,available
2026.1,TEAM_03,T2,11,132.0,655.0,24,available
2026.1,TEAM_03,T3,5,16.0,93.0,5,available
2026.1,TEAM_04,T1,9,77.0,1181.0,25,available
2026.1,TEAM_04,T2,0,,,0,no_clean_change_observed
2026.1,TEAM_04,T3,9,115.0,5603.0,151,available
2026.1,TEAM_05,T1,28,109.5,1911.0,90,available
2026.1,TEAM_05,T2,24,126.5,451.0,87,available
2026.1,TEAM_05,T3,23,63.0,1919.0,68,available
