Semestre,temporal_marker,perception_group,perception_family,mean,std,median,q1,q3,iqr,n,student_n,coverage,measurement_status,family_label,checkpoint_order
2025.2,T1,ai_benefit,ai_benefit,2.130434782608696,1.0024125487414832,2.0,2.0,3.0,1.0,46,46,1.0,available,AI benefit,1
2025.2,T2,ai_benefit,ai_benefit,2.2195121951219514,0.758689499134897,2.0,2.0,3.0,1.0,41,41,1.0,available,AI benefit,2
2025.2,T3,ai_benefit,ai_benefit,2.25,0.8987170342729172,2.0,2.0,3.0,1.0,40,40,1.0,available,AI benefit,3
2025.2,T1,autonomy_tool_balance,autonomy_tool_dependency,3.0869565217391304,0.8900957990019761,3.0,2.0,4.0,2.0,46,46,1.0,available,Autonomy/tool balance,1
2025.2,T2,autonomy_tool_balance,autonomy_tool_dependency,3.024390243902439,0.8511111818689959,3.0,2.0,4.0,2.0,41,41,1.0,available,Autonomy/tool balance,2
2025.2,T3,autonomy_tool_balance,autonomy_tool_dependency,3.225,0.9469925405170158,4.0,2.0,4.0,2.0,40,40,1.0,available,Autonomy/tool balance,3
2025.2,T1,project_expectations,career_expectation,0.1956521739130435,0.5424047368439223,0.0,0.0,0.0,0.0,46,46,1.0,available,Career expectation,1
2025.2,T2,project_expectations,career_expectation,0.6341463414634146,0.8875837301622763,0.0,0.0,1.0,1.0,41,41,1.0,available,Career expectation,2
2025.2,T3,project_expectations,career_expectation,0.4,0.7089175569585666,0.0,0.0,1.0,1.0,40,40,1.0,available,Career expectation,3
2025.2,T1,career_impact,ai_career_impact_5y,1.4782608695652173,1.00529996484814,1.0,1.0,2.0,1.0,46,46,1.0,available,Five-year career impact,1
2025.2,T2,career_impact,ai_career_impact_5y,1.4390243902439024,1.0258845083098993,1.0,1.0,2.0,1.0,41,41,1.0,available,Five-year career impact,2
2025.2,T3,career_impact,ai_career_impact_5y,1.325,0.8285761652005575,1.0,1.0,2.0,1.0,40,40,1.0,available,Five-year career impact,3
2025.2,T1,project_expectations,project_challenges,0.2608695652173913,0.4914731871829904,0.0,0.0,0.0,0.0,46,46,1.0,available,Project challenges,1
2025.2,T2,project_expectations,project_challenges,0.1707317073170731,0.38094875143451,0.0,0.0,0.0,0.0,41,41,1.0,available,Project challenges,2
2025.2,T3,project_expectations,project_challenges,0.15,0.3616202853397894,0.0,0.0,0.0,0.0,40,40,1.0,available,Project challenges,3
2025.2,T1,project_expectations,project_feeling,0.108695652173913,0.4335005251600159,0.0,0.0,0.0,0.0,46,46,1.0,available,Project feeling,1
2025.2,T2,project_expectations,project_feeling,0.3170731707317073,0.6869870592028609,0.0,0.0,0.0,0.0,41,41,1.0,available,Project feeling,2
2025.2,T3,project_expectations,project_feeling,0.35,0.7696152885095853,0.0,0.0,0.0,0.0,40,40,1.0,available,Project feeling,3
2026.1,T1,ai_benefit,ai_benefit,2.0,1.0690449676496976,2.0,2.0,3.0,1.0,22,22,1.0,available,AI benefit,1
2026.1,T2,ai_benefit,ai_benefit,1.85,1.0894228312566052,2.0,1.0,2.25,1.25,20,20,1.0,available,AI benefit,2
2026.1,T3,ai_benefit,ai_benefit,1.5555555555555556,0.9835244081556432,2.0,1.0,2.0,1.0,18,18,1.0,available,AI benefit,3
2026.1,T1,autonomy_tool_balance,autonomy_tool_dependency,2.636363636363636,0.8477114595277798,2.0,2.0,3.0,1.0,22,22,1.0,available,Autonomy/tool balance,1
2026.1,T2,autonomy_tool_balance,autonomy_tool_dependency,2.9,0.9119095061289914,3.0,2.0,4.0,2.0,20,20,1.0,available,Autonomy/tool balance,2
2026.1,T3,autonomy_tool_balance,autonomy_tool_dependency,3.4444444444444446,0.9217771979249536,4.0,2.5,4.0,1.5,18,18,1.0,available,Autonomy/tool balance,3
2026.1,T1,project_expectations,career_expectation,0.3181818181818182,0.5679003631895497,0.0,0.0,0.75,0.75,22,22,1.0,available,Career expectation,1
2026.1,T2,project_expectations,career_expectation,0.55,0.8870412083230169,0.0,0.0,1.0,1.0,20,20,1.0,available,Career expectation,2
2026.1,T3,project_expectations,career_expectation,0.7222222222222222,1.0178151661369077,0.0,0.0,1.75,1.75,18,18,1.0,available,Career expectation,3
2026.1,T1,career_impact,ai_career_impact_5y,1.5454545454545454,0.9116846116771036,2.0,1.0,2.0,1.0,22,22,1.0,available,Five-year career impact,1
2026.1,T2,career_impact,ai_career_impact_5y,1.8,0.6958523739384592,2.0,1.75,2.0,0.25,20,20,1.0,available,Five-year career impact,2
2026.1,T3,career_impact,ai_career_impact_5y,1.6666666666666667,0.9074852129730302,2.0,1.0,2.0,1.0,18,18,1.0,available,Five-year career impact,3
2026.1,T1,project_expectations,project_challenges,0.1363636363636363,0.3512500866571044,0.0,0.0,0.0,0.0,22,22,1.0,available,Project challenges,1
2026.1,T2,project_expectations,project_challenges,0.2,0.4103913408340617,0.0,0.0,0.0,0.0,20,20,1.0,available,Project challenges,2
2026.1,T3,project_expectations,project_challenges,0.0555555555555555,0.2357022603955158,0.0,0.0,0.0,0.0,18,18,1.0,available,Project challenges,3
2026.1,T1,project_expectations,project_feeling,0.3181818181818182,0.7162311170195086,0.0,0.0,0.0,0.0,22,22,1.0,available,Project feeling,1
2026.1,T2,project_expectations,project_feeling,0.55,0.8255779474818966,0.0,0.0,1.0,1.0,20,20,1.0,available,Project feeling,2
2026.1,T3,project_expectations,project_feeling,0.5,0.8574929257125442,0.0,0.0,0.75,0.75,18,18,1.0,available,Project feeling,3
