score_trajectory_group,week_bin,week_bin_order,team_semester_n,mean_commit_n,median_commit_n,mean_clean_churn,median_clean_churn,mean_active_day_n,mean_active_author_n
declined,week_-12,1,2,0.5,0.5,0.0,0.0,0.5,0.5
declined,week_-11,2,2,4.0,4.0,129.5,129.5,1.5,1.5
declined,week_-10,3,2,1.0,1.0,22.0,22.0,0.5,1.0
declined,week_-9,4,2,13.5,13.5,5407.0,5407.0,2.5,2.5
declined,week_-8,5,2,0.0,0.0,0.0,0.0,0.0,0.0
declined,week_-7,6,2,1.5,1.5,282.0,282.0,1.0,0.5
declined,week_-6,7,2,10.5,10.5,581.5,581.5,2.5,3.5
declined,week_-5,8,2,3.0,3.0,270.0,270.0,2.5,1.5
declined,week_-4,9,2,16.5,16.5,2178.5,2178.5,5.0,5.0
declined,week_-3,10,2,12.5,12.5,1518.0,1518.0,4.5,4.0
declined,week_-2,11,2,16.5,16.5,2126.0,2126.0,4.0,5.0
declined,week_-1,12,2,19.0,19.0,649.5,649.5,2.5,2.0
declined,final_7_days,13,2,61.5,61.5,13455.0,13455.0,5.5,4.5
improved,week_-12,1,8,0.125,0.0,3.875,0.0,0.125,0.125
improved,week_-11,2,8,0.0,0.0,0.0,0.0,0.0,0.0
improved,week_-10,3,8,0.375,0.0,29.625,0.0,0.375,0.25
improved,week_-9,4,8,1.375,0.0,236.0,0.0,0.375,0.5
improved,week_-8,5,8,1.375,0.0,178.375,0.0,0.25,0.375
improved,week_-7,6,8,2.375,0.0,16.625,0.0,0.375,1.0
improved,week_-6,7,8,2.5,0.0,242.875,0.0,0.5,0.25
improved,week_-5,8,8,0.75,0.0,73.75,0.0,0.5,0.5
improved,week_-4,9,8,2.625,1.0,1126.75,659.5,1.0,1.375
improved,week_-3,10,8,3.125,0.5,1684.625,46.5,1.375,1.5
improved,week_-2,11,8,3.25,0.0,2316.75,0.0,0.625,0.625
improved,week_-1,12,8,0.375,0.0,96.25,0.0,0.25,0.25
improved,final_7_days,13,8,15.75,11.5,8267.375,8045.0,2.625,3.0
stable,week_-12,1,4,1.25,0.5,209.75,73.0,0.75,0.5
stable,week_-11,2,4,0.75,0.0,323.5,0.0,0.25,0.25
stable,week_-10,3,4,0.5,0.5,234.0,144.5,0.5,0.5
stable,week_-9,4,4,0.25,0.0,0.0,0.0,0.25,0.25
stable,week_-8,5,4,3.5,3.0,529.5,0.0,0.75,1.25
stable,week_-7,6,4,7.5,0.0,2681.0,0.0,1.25,1.5
stable,week_-6,7,4,0.75,0.0,198.0,0.0,0.5,0.25
stable,week_-5,8,4,1.0,1.0,74.5,64.5,0.75,0.75
stable,week_-4,9,4,8.5,8.0,1030.5,710.5,2.25,3.25
stable,week_-3,10,4,10.25,5.0,1724.5,1119.0,2.25,2.75
stable,week_-2,11,4,3.0,1.0,574.0,86.0,1.25,1.75
stable,week_-1,12,4,0.25,0.0,132.25,0.0,0.25,0.25
stable,final_7_days,13,4,9.5,8.5,1395.75,1272.5,2.75,3.0
