score_trajectory_group,phase,phase_order,team_semester_n,mean_commit_share_pct,median_commit_share_pct,mean_clean_churn_share_pct,median_clean_churn_share_pct,mean_active_day_n,mean_active_author_n
declined,pre_t1,1,2,16.52892561983471,16.52892561983471,24.860322710409868,24.860322710409868,5.5,4.0
declined,t1_to_t2,2,2,27.305620657045353,27.305620657045353,18.3210880713617,18.3210880713617,13.0,7.0
declined,t2_to_t3_excluding_final7,3,2,23.26590189548127,23.26590189548127,11.848642414058137,11.848642414058137,8.5,5.5
declined,final7_pre_t3,4,2,32.89955182763867,32.89955182763867,44.96994680417029,44.96994680417029,5.5,4.5
improved,pre_t1,1,8,16.161990497133434,9.290819131390874,8.080264129703734,0.0,2.25,1.5
improved,t1_to_t2,2,8,25.988616630452803,27.450980392156865,31.58452016745641,32.960779472013606,3.875,2.5
improved,t2_to_t3_excluding_final7,3,8,1.1589635854341735,0.0,1.3471456842295448,0.0,0.5,0.375
improved,final7_pre_t3,4,8,56.69042928697959,50.76965365585487,58.988070018610316,61.99927492200305,2.625,3.0
stable,pre_t1,1,4,25.810330621073234,26.278195488721806,31.392736928255122,28.171914177050095,3.75,2.75
stable,t1_to_t2,2,4,41.20514669180855,35.54794520547945,38.921330364647844,26.785961045965443,5.25,4.75
stable,t2_to_t3_excluding_final7,3,4,8.351648351648352,3.8461538461538463,11.443379875836678,4.905875641756988,2.0,2.25
stable,final7_pre_t3,4,4,24.632874335469864,18.39530332681018,18.242552831260365,15.283075849644106,2.75,3.0
