activity_metric,quadrant,final7_concentration_cut,final7_concentration_median_pct,delta_threshold,planning_scope_tier,team_semester_n,median_final7_share_pct,median_delta_score_t3_minus_t1,interpretation,team_semesters
commits,higher_final7_concentration__negative_or_stable_delta,median,43.743509865005194,0.125,high_repository_visible_planning,1,57.89473684210526,-0.03125,Late concentration without evaluator-score gain,TEAM_01/2025.2
commits,higher_final7_concentration__negative_or_stable_delta,median,43.743509865005194,0.125,lower_repository_visible_planning,1,54.22885572139303,-0.25,Late concentration without evaluator-score gain,TEAM_02/2025.2
commits,higher_final7_concentration__positive_delta,median,43.743509865005194,0.125,high_repository_visible_planning,2,55.63725490196079,0.4375,Potential late recovery,TEAM_04/2025.2;TEAM_04/2026.1
commits,higher_final7_concentration__positive_delta,median,43.743509865005194,0.125,lower_repository_visible_planning,3,100.0,0.3333333333333335,Potential late recovery,TEAM_03/2025.2;TEAM_05/2025.2;TEAM_09/2025.2
commits,lower_final7_concentration__negative_or_stable_delta,median,43.743509865005194,0.125,high_repository_visible_planning,3,11.570247933884298,0.0416666666666669,Low final concentration without evaluator-score gain,TEAM_02/2026.1;TEAM_05/2026.1;TEAM_07/2025.2
commits,lower_final7_concentration__negative_or_stable_delta,median,43.743509865005194,0.125,lower_repository_visible_planning,1,3.8461538461538463,0.0729166666666669,Low final concentration without evaluator-score gain,TEAM_08/2025.2
commits,lower_final7_concentration__positive_delta,median,43.743509865005194,0.125,high_repository_visible_planning,1,21.428571428571427,0.1666666666666669,Distributed progress with evaluator-score gain,TEAM_03/2026.1
commits,lower_final7_concentration__positive_delta,median,43.743509865005194,0.125,lower_repository_visible_planning,2,36.111111111111114,0.8020833333333334,Distributed progress with evaluator-score gain,TEAM_01/2026.1;TEAM_10/2025.2
clean_source_or_test_changed_lines,higher_final7_concentration__negative_or_stable_delta,median,34.99461573513386,0.125,high_repository_visible_planning,1,42.40405962575325,-0.03125,Late concentration without evaluator-score gain,TEAM_01/2025.2
clean_source_or_test_changed_lines,higher_final7_concentration__negative_or_stable_delta,median,34.99461573513386,0.125,lower_repository_visible_planning,1,79.86525006478362,-0.25,Late concentration without evaluator-score gain,TEAM_02/2025.2
clean_source_or_test_changed_lines,higher_final7_concentration__positive_delta,median,34.99461573513386,0.125,high_repository_visible_planning,2,77.08533438920963,0.4375,Potential late recovery,TEAM_04/2025.2;TEAM_04/2026.1
clean_source_or_test_changed_lines,higher_final7_concentration__positive_delta,median,34.99461573513386,0.125,lower_repository_visible_planning,3,100.0,0.40625,Potential late recovery,TEAM_01/2026.1;TEAM_03/2025.2;TEAM_05/2025.2
clean_source_or_test_changed_lines,lower_final7_concentration__negative_or_stable_delta,median,34.99461573513386,0.125,high_repository_visible_planning,3,10.074643543556968,0.0416666666666669,Low final concentration without evaluator-score gain,TEAM_02/2026.1;TEAM_05/2026.1;TEAM_07/2025.2
clean_source_or_test_changed_lines,lower_final7_concentration__negative_or_stable_delta,median,34.99461573513386,0.125,lower_repository_visible_planning,1,0.0,0.0729166666666669,Low final concentration without evaluator-score gain,TEAM_08/2025.2
clean_source_or_test_changed_lines,lower_final7_concentration__positive_delta,median,34.99461573513386,0.125,high_repository_visible_planning,1,1.606864274570983,0.1666666666666669,Distributed progress with evaluator-score gain,TEAM_03/2026.1
clean_source_or_test_changed_lines,lower_final7_concentration__positive_delta,median,34.99461573513386,0.125,lower_repository_visible_planning,2,27.145319707024157,0.6979166666666667,Distributed progress with evaluator-score gain,TEAM_09/2025.2;TEAM_10/2025.2
