Semestre,ID_Equipe,window_end_day,clean_churn_7d,unique_clean_file_n_7d,clean_file_event_n_7d,measurement_status,tier,evaluator_score_t3,planning_artifact_present_t1,planning_scope_log1p_t1,team_window_clean_churn_total,team_window_clean_churn_share_pct
2025.2,TEAM_01,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,0.0
2025.2,TEAM_01,-5,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,0.0
2025.2,TEAM_01,-4,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,0.0
2025.2,TEAM_01,-3,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,0.0
2025.2,TEAM_01,-2,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,0.0
2025.2,TEAM_01,-1,956.0,16,22,available,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,41.692106410815526
2025.2,TEAM_01,0,1337.0,20,30,available,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,2293.0,58.307893589184474
2026.1,TEAM_01,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,0.0
2026.1,TEAM_01,-5,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,0.0
2026.1,TEAM_01,-4,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,0.0
2026.1,TEAM_01,-3,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,0.0
2026.1,TEAM_01,-2,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,0.0
2026.1,TEAM_01,-1,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,0.0
2026.1,TEAM_01,0,6546.0,100,100,available,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,6546.0,100.0
2025.2,TEAM_02,-6,1283.0,15,70,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,2.8079928213433716
2025.2,TEAM_02,-5,1283.0,15,70,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,2.8079928213433716
2025.2,TEAM_02,-4,2831.0,26,89,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,6.195968571491103
2025.2,TEAM_02,-3,3639.0,33,116,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,7.964369350637981
2025.2,TEAM_02,-2,4078.0,33,116,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,8.92517125911011
2025.2,TEAM_02,-1,7921.0,40,137,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,17.336018034186164
2025.2,TEAM_02,0,24656.0,134,298,available,Lower evaluator score / weaker planning,1.75,False,0.0,45691.0,53.9624871418879
2026.1,TEAM_02,-6,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,0.0
2026.1,TEAM_02,-5,747.0,2,2,available,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,9.679927432940262
2026.1,TEAM_02,-4,747.0,2,2,available,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,9.679927432940262
2026.1,TEAM_02,-3,747.0,2,2,available,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,9.679927432940262
2026.1,TEAM_02,-2,799.0,3,3,available,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,10.353764416223921
2026.1,TEAM_02,-1,1639.0,9,12,available,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,21.23882337695996
2026.1,TEAM_02,0,3038.0,20,39,available,High evaluator score + good planning,2.4583333333333335,True,4.77912349311153,7717.0,39.36762990799534
2025.2,TEAM_03,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,0.0
2025.2,TEAM_03,-5,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,0.0
2025.2,TEAM_03,-4,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,0.0
2025.2,TEAM_03,-3,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,0.0
2025.2,TEAM_03,-2,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,0.0
2025.2,TEAM_03,-1,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,0.0
2025.2,TEAM_03,0,15186.0,112,146,available,Lower evaluator score / weaker planning,2.40625,False,0.0,15186.0,100.0
2026.1,TEAM_03,-6,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,0.0
2026.1,TEAM_03,-5,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,0.0
2026.1,TEAM_03,-4,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,0.0
2026.1,TEAM_03,-3,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,0.0
2026.1,TEAM_03,-2,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,0.0
2026.1,TEAM_03,-1,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,0.0
2026.1,TEAM_03,0,103.0,4,5,available,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,103.0,100.0
2025.2,TEAM_04,-6,770.0,17,18,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,4.270896888346552
2025.2,TEAM_04,-5,651.0,16,16,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,3.6108491874202673
2025.2,TEAM_04,-4,651.0,16,16,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,3.6108491874202673
