Semestre,ID_Equipe,window_end_day,window_start,window_end,phase,commit_n,active_days,author_n,max_author_share,author_gini,measurement_status,tier,evaluator_score_t3,planning_artifact_present_t1,planning_scope_log1p_t1,team_window_commit_total,team_window_commit_share_pct
2025.2,TEAM_01,-6,2025-11-29 10:29:05-03:00,2025-12-06 10:29:05-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,0.0
2025.2,TEAM_01,-5,2025-11-30 10:29:05-03:00,2025-12-07 10:29:05-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,0.0
2025.2,TEAM_01,-4,2025-12-01 10:29:05-03:00,2025-12-08 10:29:05-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,0.0
2025.2,TEAM_01,-3,2025-12-02 10:29:05-03:00,2025-12-09 10:29:05-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,0.0
2025.2,TEAM_01,-2,2025-12-03 10:29:05-03:00,2025-12-10 10:29:05-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,0.0
2025.2,TEAM_01,-1,2025-12-04 10:29:05-03:00,2025-12-11 10:29:05-03:00,rolling,7,2,1,1.0,0.0,available,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,38.888888888888886
2025.2,TEAM_01,0,2025-12-05 10:29:05-03:00,2025-12-12 10:29:05-03:00,rolling,11,3,1,1.0,0.0,available,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,18,61.111111111111114
2026.1,TEAM_01,-6,2026-06-06 10:26:03-03:00,2026-06-13 10:26:03-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,1,0.0
2026.1,TEAM_01,-5,2026-06-07 10:26:03-03:00,2026-06-14 10:26:03-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,1,0.0
2026.1,TEAM_01,-4,2026-06-08 10:26:03-03:00,2026-06-15 10:26:03-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,1,0.0
2026.1,TEAM_01,-3,2026-06-09 10:26:03-03:00,2026-06-16 10:26:03-03:00,rolling,0,0,0,,,no_observed_activity,Lower evaluator score / weaker planning,2.5,True,1.0986122886681096,1,0.0
