relationship_id,task_4_2_requirement,relationship_label,predictor,outcome,filter_column,removed_ID_Equipe,removed_Semestre,full_sample_n,loo_n,full_sample_rho,loo_rho,rho_delta_from_full,abs_rho_delta_from_full,full_sample_sign,loo_sign,sign_changed,availability_status,inference_note
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_01,2025.2,14,13,0.18626869263348914,0.2912884096499684,0.10501971701647925,0.10501971701647925,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_01,2026.1,14,13,0.18626869263348914,0.24653906584044888,0.06027037320695974,0.06027037320695974,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_02,2025.2,14,13,0.18626869263348914,0.08403888874931835,-0.10222980388417079,0.10222980388417079,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_02,2026.1,14,13,0.18626869263348914,0.08655626224691017,-0.09971243038657897,0.09971243038657897,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_03,2025.2,14,13,0.18626869263348914,0.19048814783178822,0.0042194551982990824,0.0042194551982990824,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_03,2026.1,14,13,0.18626869263348914,0.14899028747418966,-0.03727840515929948,0.03727840515929948,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_04,2025.2,14,13,0.18626869263348914,0.05817715987087406,-0.1280915327626151,0.1280915327626151,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_04,2026.1,14,13,0.18626869263348914,0.2571863519348501,0.07091765930136099,0.07091765930136099,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_05,2025.2,14,13,0.18626869263348914,0.13726351829055328,-0.04900517434293586,0.04900517434293586,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_05,2026.1,14,13,0.18626869263348914,0.24297716122021754,0.0567084685867284,0.0567084685867284,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_07,2025.2,14,13,0.18626869263348914,0.2213569985330818,0.035088305899592664,0.035088305899592664,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_08,2025.2,14,13,0.18626869263348914,0.2112055438669407,0.024936851233451574,0.024936851233451574,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_09,2025.2,14,13,0.18626869263348914,0.18728850082702464,0.0010198081935355041,0.0010198081935355041,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_t3_score,planning_t1_to_t3_score,Planning scope → T3 score,planning_scope_log1p_t1,evaluator_score_t3,,TEAM_10,2025.2,14,13,0.18626869263348914,0.2325075922064474,0.046238899572958264,0.046238899572958264,positive,positive,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_01,2025.2,14,13,-0.16783536661396822,-0.14311692801191708,0.02471843860205114,0.02471843860205114,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_01,2026.1,14,13,-0.16783536661396822,-0.13300419045063838,0.03483117616332984,0.03483117616332984,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_02,2025.2,14,13,-0.16783536661396822,-0.3701478345993081,-0.2023124679853399,0.2023124679853399,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_02,2026.1,14,13,-0.16783536661396822,-0.0751009622240753,0.09273440438989293,0.09273440438989293,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_03,2025.2,14,13,-0.16783536661396822,-0.21370799507054392,-0.04587262845657569,0.04587262845657569,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_03,2026.1,14,13,-0.16783536661396822,-0.18279290805482482,-0.014957541440856592,0.014957541440856592,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_04,2025.2,14,13,-0.16783536661396822,-0.2575393768188564,-0.08970401020488819,0.08970401020488819,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_04,2026.1,14,13,-0.16783536661396822,-0.2253028866722259,-0.05746752005825767,0.05746752005825767,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_05,2025.2,14,13,-0.16783536661396822,-0.09637811542397079,0.07145725118999743,0.07145725118999743,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_05,2026.1,14,13,-0.16783536661396822,-0.058096970777114856,0.10973839583685337,0.10973839583685337,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_07,2025.2,14,13,-0.16783536661396822,-0.15445292230989072,0.013382444304077507,0.013382444304077507,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_08,2025.2,14,13,-0.16783536661396822,-0.23885011213766671,-0.07101474552369849,0.07101474552369849,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_09,2025.2,14,13,-0.16783536661396822,-0.15260327241863142,0.015232094195336804,0.015232094195336804,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,Planning scope → score delta,planning_scope_log1p_t1,delta_score_t3_minus_t1,,TEAM_10,2025.2,14,13,-0.16783536661396822,-0.043300312726711504,0.12453505388725672,0.12453505388725672,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_01,2025.2,14,13,-0.2590747269880046,-0.30607184604528803,-0.04699711905728343,0.04699711905728343,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_01,2026.1,14,13,-0.2590747269880046,-0.24902912254587614,0.010045604442128458,0.010045604442128458,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_02,2025.2,14,13,-0.2590747269880046,-0.20393050509999616,0.05514422188800844,0.05514422188800844,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_02,2026.1,14,13,-0.2590747269880046,-0.20404789736352538,0.05502682962447922,0.05502682962447922,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_03,2025.2,14,13,-0.2590747269880046,-0.13669670161613426,0.12237802537187034,0.12237802537187034,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_03,2026.1,14,13,-0.2590747269880046,-0.20404789736352538,0.05502682962447922,0.05502682962447922,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_04,2025.2,14,13,-0.2590747269880046,-0.34574782608819576,-0.08667309910019116,0.08667309910019116,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_04,2026.1,14,13,-0.2590747269880046,-0.30607184604528803,-0.04699711905728343,0.04699711905728343,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_05,2025.2,14,13,-0.2590747269880046,-0.13669670161613426,0.12237802537187034,0.12237802537187034,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_05,2026.1,14,13,-0.2590747269880046,-0.19837990021453852,0.060694826773466076,0.060694826773466076,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_07,2025.2,14,13,-0.2590747269880046,-0.31173984319427483,-0.052665116206270235,0.052665116206270235,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_08,2025.2,14,13,-0.2590747269880046,-0.4637323814602652,-0.2046576544722606,0.2046576544722606,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_09,2025.2,14,13,-0.2590747269880046,-0.26600838090127676,-0.006933653913272164,0.006933653913272164,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_commits,planning_t1_to_final7_concentration,Planning scope → final-7 commits,planning_scope_log1p_t1,final7_commit_share_pct,,TEAM_10,2025.2,14,13,-0.2590747269880046,-0.27935685630136453,-0.02028212931335993,0.02028212931335993,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_clean_churn,planning_t1_to_final7_concentration,Planning scope → final-7 clean churn,planning_scope_log1p_t1,final7_clean_churn_share_pct,,TEAM_01,2025.2,14,13,-0.27935014040445716,-0.30607184604528803,-0.026721705640830873,0.026721705640830873,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_clean_churn,planning_t1_to_final7_concentration,Planning scope → final-7 clean churn,planning_scope_log1p_t1,final7_clean_churn_share_pct,,TEAM_01,2026.1,14,13,-0.27935014040445716,-0.27166813368641035,0.007682006718046808,0.007682006718046808,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_clean_churn,planning_t1_to_final7_concentration,Planning scope → final-7 clean churn,planning_scope_log1p_t1,final7_clean_churn_share_pct,,TEAM_02,2025.2,14,13,-0.27935014040445716,-0.1955497994109552,0.08380034099350195,0.08380034099350195,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
planning_scope_to_final7_clean_churn,planning_t1_to_final7_concentration,Planning scope → final-7 clean churn,planning_scope_log1p_t1,final7_clean_churn_share_pct,,TEAM_02,2026.1,14,13,-0.27935014040445716,-0.24088987883193966,0.0384602615725175,0.0384602615725175,negative,negative,False,available,descriptive_directional_robustness_not_confirmatory
